FRQ, BETA, SPEED, GROUP, I, J, Added Mass, Radiation Damping 
0.000000e+00, 180.000000, 0.000000, 0, 4, 3, 4.421824e-09, 0.000000e+00 
0.000000e+00, 180.000000, 0.000000, 0, 4, 4, 5.215358e-05, 0.000000e+00 
0.000000e+00, 180.000000, 0.000000, 0, 4, 5, -4.335771e-09, 0.000000e+00 
0.000000e+00, 180.000000, 0.000000, 0, 4, 6, 5.035127e-05, 0.000000e+00 
0.000000e+00, 180.000000, 0.000000, 0, 5, 1, 2.147985e-04, 0.000000e+00 
0.000000e+00, 180.000000, 0.000000, 0, 5, 2, 1.931601e-07, 0.000000e+00 
0.000000e+00, 180.000000, 0.000000, 0, 5, 3, -1.019732e-03, 0.000000e+00 
0.000000e+00, 180.000000, 0.000000, 0, 5, 4, 2.431026e-08, 0.000000e+00 
0.000000e+00, 180.000000, 0.000000, 0, 5, 5, 4.624453e-04, 0.000000e+00 
0.000000e+00, 180.000000, 0.000000, 0, 5, 6, 9.933481e-08, 0.000000e+00 
0.000000e+00, 180.000000, 0.000000, 0, 6, 1, 4.713682e-09, 0.000000e+00 
0.000000e+00, 180.000000, 0.000000, 0, 6, 2, 3.806784e-04, 0.000000e+00 
0.000000e+00, 180.000000, 0.000000, 0, 6, 3, 1.116677e-08, 0.000000e+00 
0.000000e+00, 180.000000, 0.000000, 0, 6, 4, 5.023613e-05, 0.000000e+00 
0.000000e+00, 180.000000, 0.000000, 0, 6, 5, 1.214640e-08, 0.000000e+00 
0.000000e+00, 180.000000, 0.000000, 0, 6, 6, 2.115620e-04, 0.000000e+00 
