FRQ, BETA, SPEED, GROUP, Mode, Mod(F), Pha(F), Re(F), Im(F) 
1.800000e-01, 0.000000, 0.000000, 0, 4, 6.780982e-01, 10.859854, 6.659541e-01, 1.277587e-01 
1.800000e-01, 0.000000, 0.000000, 0, 5, 3.592666e+05, 89.485950, 3.223248e+03, 3.592522e+05 
1.800000e-01, 0.000000, 0.000000, 0, 6, 3.083552e+00, 46.140603, 2.136565e+00, 2.223371e+00 
2.100000e-01, 0.000000, 0.000000, 0, 1, 1.257020e+03, 87.726011, 4.987626e+01, 1.256030e+03 
2.100000e-01, 0.000000, 0.000000, 0, 2, 1.051729e-02, -78.308469, 2.131251e-03, -1.029909e-02 
2.100000e-01, 0.000000, 0.000000, 0, 3, 1.425786e+04, 0.140079, 1.425782e+04, 3.485825e+01 
2.100000e-01, 0.000000, 0.000000, 0, 4, 6.050039e-01, 16.150345, 5.811275e-01, 1.682872e-01 
2.100000e-01, 0.000000, 0.000000, 0, 5, 4.696160e+05, 89.440719, 4.583989e+03, 4.695936e+05 
2.100000e-01, 0.000000, 0.000000, 0, 6, 3.327684e+00, 62.333414, 1.545129e+00, 2.947211e+00 
2.400000e-01, 0.000000, 0.000000, 0, 1, 1.547891e+03, 86.636312, 9.082053e+01, 1.545224e+03 
2.400000e-01, 0.000000, 0.000000, 0, 2, 1.320162e-02, -65.101350, 5.558073e-03, -1.197458e-02 
2.400000e-01, 0.000000, 0.000000, 0, 3, 1.315965e+04, 0.274021, 1.315950e+04, 6.293661e+01 
2.400000e-01, 0.000000, 0.000000, 0, 4, 4.984661e-01, 24.458020, 4.537362e-01, 2.063781e-01 
2.400000e-01, 0.000000, 0.000000, 0, 5, 5.805302e+05, 89.537673, 4.684324e+03, 5.805113e+05 
2.400000e-01, 0.000000, 0.000000, 0, 6, 3.701274e+00, 79.716345, 6.607571e-01, 3.641817e+00 
2.700000e-01, 0.000000, 0.000000, 0, 1, 1.803503e+03, 85.460651, 1.427359e+02, 1.797845e+03 
2.700000e-01, 0.000000, 0.000000, 0, 2, 1.634186e-02, -49.227841, 1.067210e-02, -1.237590e-02 
2.700000e-01, 0.000000, 0.000000, 0, 3, 1.177710e+04, 0.478734, 1.177669e+04, 9.840214e+01 
2.700000e-01, 0.000000, 0.000000, 0, 4, 3.637389e-01, 40.138486, 2.780742e-01, 2.344797e-01 
2.700000e-01, 0.000000, 0.000000, 0, 5, 6.826311e+05, 89.761663, 2.839580e+03, 6.826252e+05 
2.700000e-01, 0.000000, 0.000000, 0, 6, 4.211676e+00, 97.339887, -5.380631e-01, 4.177165e+00 
3.000000e-01, 0.000000, 0.000000, 0, 1, 1.986247e+03, 84.160507, 2.020849e+02, 1.975940e+03 
3.000000e-01, 0.000000, 0.000000, 0, 2, 2.040236e-02, -31.384076, 1.741741e-02, -1.062499e-02 
3.000000e-01, 0.000000, 0.000000, 0, 3, 1.011176e+04, 0.777744, 1.011082e+04, 1.372547e+02 
3.000000e-01, 0.000000, 0.000000, 0, 4, 2.487768e-01, 77.321678, 5.460081e-02, 2.427110e-01 
