FRQ, BETA, SPEED, GROUP, I, J, Added Mass, Radiation Damping 
0.000000e+00, 0.000000, 0.000000, 0, 4, 3, 1.003864e+01, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 4, 4, 2.686083e+07, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 4, 5, -8.354094e+02, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 4, 6, 3.242948e+07, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 5, 1, 4.764539e+06, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 5, 2, 1.853851e+02, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 5, 3, -1.495270e+06, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 5, 4, -1.607598e+03, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 5, 5, 2.865358e+09, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 5, 6, -2.421820e+04, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 6, 1, -2.173339e+01, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 6, 2, 2.511880e+06, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 6, 3, -1.192275e+02, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 6, 4, 3.250282e+07, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 6, 5, -1.868975e+04, 0.000000e+00 
0.000000e+00, 0.000000, 0.000000, 0, 6, 6, 1.387513e+09, 0.000000e+00 
3.000000e-02, 0.000000, 0.000000, 0, 1, 1, 1.842015e+04, 3.713813e-02 
3.000000e-02, 0.000000, 0.000000, 0, 1, 2, 6.608611e-01, -3.569970e-05 
3.000000e-02, 0.000000, 0.000000, 0, 1, 3, 1.158807e+04, -1.436112e+01 
3.000000e-02, 0.000000, 0.000000, 0, 1, 4, -6.400950e+00, 5.884649e-05 
3.000000e-02, 0.000000, 0.000000, 0, 1, 5, 4.783446e+06, 1.042426e+01 
3.000000e-02, 0.000000, 0.000000, 0, 1, 6, -3.940969e+01, 1.264008e-02 
3.000000e-02, 0.000000, 0.000000, 0, 2, 1, 6.649959e-01, 3.629455e-07 
3.000000e-02, 0.000000, 0.000000, 0, 2, 2, 2.528200e+05, 6.548698e-02 
3.000000e-02, 0.000000, 0.000000, 0, 2, 3, 1.634581e+00, -1.928225e-04 
3.000000e-02, 0.000000, 0.000000, 0, 2, 4, 1.871014e+05, -3.368604e-01 
3.000000e-02, 0.000000, 0.000000, 0, 2, 5, 1.844470e+02, 8.567447e-05 
3.000000e-02, 0.000000, 0.000000, 0, 2, 6, 2.517765e+06, 2.570365e-01 
3.000000e-02, 0.000000, 0.000000, 0, 3, 1, 1.149758e+04, -1.378953e+01 
3.000000e-02, 0.000000, 0.000000, 0, 3, 2, 7.726640e-01, 3.247291e-02 
3.000000e-02, 0.000000, 0.000000, 0, 3, 3, 7.834236e+05, 1.283571e+04 
3.000000e-02, 0.000000, 0.000000, 0, 3, 4, 5.472003e+00, -5.986010e-02 
3.000000e-02, 0.000000, 0.000000, 0, 3, 5, -1.442327e+06, -1.913584e+03 
3.000000e-02, 0.000000, 0.000000, 0, 3, 6, -3.472891e+02, -1.137220e+01 
3.000000e-02, 0.000000, 0.000000, 0, 4, 1, -3.587891e+00, -6.263256e-04 
3.000000e-02, 0.000000, 0.000000, 0, 4, 2, 2.069970e+05, -3.722041e-02 
3.000000e-02, 0.000000, 0.000000, 0, 4, 3, 1.077595e+01, 5.845926e-01 
3.000000e-02, 0.000000, 0.000000, 0, 4, 4, 2.686388e+07, 5.004060e+00 
3.000000e-02, 0.000000, 0.000000, 0, 4, 5, -8.347433e+02, -8.676555e-02 
3.000000e-02, 0.000000, 0.000000, 0, 4, 6, 3.247391e+07, 2.112402e+00 
3.000000e-02, 0.000000, 0.000000, 0, 5, 1, 4.780553e+06, 1.228321e+01 
3.000000e-02, 0.000000, 0.000000, 0, 5, 2, 1.860652e+02, -9.841848e-03 
3.000000e-02, 0.000000, 0.000000, 0, 5, 3, -1.489076e+06, -3.985019e+03 
3.000000e-02, 0.000000, 0.000000, 0, 5, 4, -1.614818e+03, 1.539711e-02 
3.000000e-02, 0.000000, 0.000000, 0, 5, 5, 2.870953e+09, 3.826135e+03 
3.000000e-02, 0.000000, 0.000000, 0, 5, 6, -2.429764e+04, 3.494205e+00 
3.000000e-02, 0.000000, 0.000000, 0, 6, 1, -2.160468e+01, -2.253682e-03 
3.000000e-02, 0.000000, 0.000000, 0, 6, 2, 2.519852e+06, 2.901013e-01 
3.000000e-02, 0.000000, 0.000000, 0, 6, 3, -1.164888e+02, 2.127168e+00 
3.000000e-02, 0.000000, 0.000000, 0, 6, 4, 3.254614e+07, -2.359779e+00 
3.000000e-02, 0.000000, 0.000000, 0, 6, 5, -1.868493e+04, -3.077915e-01 
3.000000e-02, 0.000000, 0.000000, 0, 6, 6, 1.389385e+09, 5.595212e+01 
6.000000e-02, 0.000000, 0.000000, 0, 1, 1, 1.858931e+04, 1.432427e+00 
6.000000e-02, 0.000000, 0.000000, 0, 1, 2, 6.689063e-01, -1.025294e-04 
6.000000e-02, 0.000000, 0.000000, 0, 1, 3, 1.158042e+04, -6.494745e+01 
6.000000e-02, 0.000000, 0.000000, 0, 1, 4, -6.475422e+00, -3.763809e-04 
6.000000e-02, 0.000000, 0.000000, 0, 1, 5, 4.834579e+06, 5.071205e+02 
6.000000e-02, 0.000000, 0.000000, 0, 1, 6, -3.984921e+01, 5.018927e-02 
6.000000e-02, 0.000000, 0.000000, 0, 2, 1, 6.697617e-01, 8.723541e-06 
6.000000e-02, 0.000000, 0.000000, 0, 2, 2, 2.546575e+05, 4.033034e+00 
6.000000e-02, 0.000000, 0.000000, 0, 2, 3, 1.635570e+00, -2.948094e-03 
6.000000e-02, 0.000000, 0.000000, 0, 2, 4, 1.874776e+05, -1.025832e+01 
6.000000e-02, 0.000000, 0.000000, 0, 2, 5, 1.852560e+02, 1.264720e-03 
6.000000e-02, 0.000000, 0.000000, 0, 2, 6, 2.542212e+06, 3.551832e+01 
6.000000e-02, 0.000000, 0.000000, 0, 3, 1, 1.149218e+04, -6.249165e+01 
6.000000e-02, 0.000000, 0.000000, 0, 3, 2, 8.166568e-01, 1.257821e-01 
6.000000e-02, 0.000000, 0.000000, 0, 3, 3, 8.048093e+05, 4.943553e+04 
6.000000e-02, 0.000000, 0.000000, 0, 3, 4, 5.470212e+00, -2.360350e-01 
6.000000e-02, 0.000000, 0.000000, 0, 3, 5, -1.410301e+06, -3.636017e+03 
6.000000e-02, 0.000000, 0.000000, 0, 3, 6, -3.669033e+02, -4.424269e+01 
6.000000e-02, 0.000000, 0.000000, 0, 4, 1, -3.588204e+00, -2.779619e-03 
6.000000e-02, 0.000000, 0.000000, 0, 4, 2, 2.077492e+05, -5.049200e+00 
6.000000e-02, 0.000000, 0.000000, 0, 4, 3, 1.187816e+01, 2.287388e+00 
6.000000e-02, 0.000000, 0.000000, 0, 4, 4, 2.687321e+07, 8.651972e+01 
6.000000e-02, 0.000000, 0.000000, 0, 4, 5, -8.321017e+02, -1.255731e-01 
6.000000e-02, 0.000000, 0.000000, 0, 4, 6, 3.260881e+07, -1.299707e+01 
6.000000e-02, 0.000000, 0.000000, 0, 5, 1, 4.831576e+06, 5.121871e+02 
6.000000e-02, 0.000000, 0.000000, 0, 5, 2, 1.882768e+02, -7.083471e-03 
6.000000e-02, 0.000000, 0.000000, 0, 5, 3, -1.459898e+06, -1.158384e+04 
6.000000e-02, 0.000000, 0.000000, 0, 5, 4, -1.638124e+03, -2.004887e-01 
6.000000e-02, 0.000000, 0.000000, 0, 5, 5, 2.888796e+09, 1.887794e+05 
6.000000e-02, 0.000000, 0.000000, 0, 5, 6, -2.456334e+04, 7.343489e+00 
6.000000e-02, 0.000000, 0.000000, 0, 6, 1, -2.119199e+01, -8.153802e-03 
6.000000e-02, 0.000000, 0.000000, 0, 6, 2, 2.544446e+06, 3.663326e+01 
6.000000e-02, 0.000000, 0.000000, 0, 6, 3, -1.122098e+02, 8.482302e+00 
6.000000e-02, 0.000000, 0.000000, 0, 6, 4, 3.267757e+07, -8.968637e+01 
6.000000e-02, 0.000000, 0.000000, 0, 6, 5, -1.866257e+04, 2.753586e-01 
6.000000e-02, 0.000000, 0.000000, 0, 6, 6, 1.395089e+09, 1.232917e+03 
9.000000e-02, 0.000000, 0.000000, 0, 1, 1, 1.890263e+04, 1.522539e+01 
9.000000e-02, 0.000000, 0.000000, 0, 1, 2, 6.840282e-01, 3.108752e-04 
9.000000e-02, 0.000000, 0.000000, 0, 1, 3, 1.160369e+04, -1.673574e+02 
9.000000e-02, 0.000000, 0.000000, 0, 1, 4, -6.616433e+00, -7.262733e-03 
9.000000e-02, 0.000000, 0.000000, 0, 1, 5, 4.930482e+06, 5.499514e+03 
9.000000e-02, 0.000000, 0.000000, 0, 1, 6, -4.078304e+01, 5.827861e-02 
9.000000e-02, 0.000000, 0.000000, 0, 2, 1, 6.779302e-01, 5.980293e-05 
9.000000e-02, 0.000000, 0.000000, 0, 2, 2, 2.579199e+05, 4.552076e+01 
9.000000e-02, 0.000000, 0.000000, 0, 2, 3, 1.637929e+00, -1.377627e-02 
9.000000e-02, 0.000000, 0.000000, 0, 2, 4, 1.879938e+05, -9.100997e+01 
9.000000e-02, 0.000000, 0.000000, 0, 2, 5, 1.866217e+02, 4.375946e-03 
9.000000e-02, 0.000000, 0.000000, 0, 2, 6, 2.585374e+06, 4.451894e+02 
