FRQ, BETA, SPEED, GROUP, Mode, Mod(Xi), Pha(Xi), Re(Xi), Im(Xi) 
1.800000e-01, 0.000000, 0.000000, 0, 4, 8.695852e-07, 12.314753, 8.495766e-07, 1.854668e-07 
1.800000e-01, 0.000000, 0.000000, 0, 5, 3.238819e-03, 90.776789, -4.390901e-05, 3.238521e-03 
1.800000e-01, 0.000000, 0.000000, 0, 6, 2.903132e-07, -134.577698, -2.037638e-07, -2.067899e-07 
2.100000e-01, 0.000000, 0.000000, 0, 1, 8.855600e-01, -92.752889, -4.253211e-02, -8.845380e-01 
2.100000e-01, 0.000000, 0.000000, 0, 2, 5.655455e-06, 102.644064, -1.237944e-06, 5.518303e-06 
2.100000e-01, 0.000000, 0.000000, 0, 3, 9.372313e-01, -0.120550, 9.372293e-01, -1.971922e-03 
2.100000e-01, 0.000000, 0.000000, 0, 4, 9.995094e-07, 17.966552, 9.507700e-07, 3.083104e-07 
2.100000e-01, 0.000000, 0.000000, 0, 5, 4.333945e-03, 91.205200, -9.115652e-05, 4.332986e-03 
2.100000e-01, 0.000000, 0.000000, 0, 6, 2.300530e-07, -119.511169, -1.133226e-07, -2.002059e-07 
2.400000e-01, 0.000000, 0.000000, 0, 1, 8.303354e-01, -93.971927, -5.751543e-02, -8.283411e-01 
2.400000e-01, 0.000000, 0.000000, 0, 2, 5.496143e-06, 124.636727, -3.123849e-06, 4.522073e-06 
2.400000e-01, 0.000000, 0.000000, 0, 3, 8.932886e-01, -0.310968, 8.932755e-01, -4.848226e-03 
2.400000e-01, 0.000000, 0.000000, 0, 4, 1.233720e-06, 26.188987, 1.107071e-06, 5.444820e-07 
2.400000e-01, 0.000000, 0.000000, 0, 5, 5.515939e-03, 91.767745, -1.701561e-04, 5.513314e-03 
2.400000e-01, 0.000000, 0.000000, 0, 6, 1.933092e-07, -103.368117, -4.469436e-08, -1.880714e-07 
2.700000e-01, 0.000000, 0.000000, 0, 1, 7.596794e-01, -95.279870, -6.990626e-02, -7.564561e-01 
2.700000e-01, 0.000000, 0.000000, 0, 2, 5.747651e-06, 152.935353, -5.118247e-06, 2.615155e-06 
2.700000e-01, 0.000000, 0.000000, 0, 3, 8.293497e-01, -0.693959, 8.292888e-01, -1.004473e-02 
2.700000e-01, 0.000000, 0.000000, 0, 4, 1.931989e-06, 39.503113, 1.490703e-06, 1.228977e-06 
2.700000e-01, 0.000000, 0.000000, 0, 5, 6.727811e-03, 92.492054, -2.925309e-04, 6.721448e-03 
2.700000e-01, 0.000000, 0.000000, 0, 6, 1.721835e-07, -87.345138, 7.975452e-09, -1.719987e-07 
3.000000e-01, 0.000000, 0.000000, 0, 1, 6.736209e-01, -96.705363, -7.865447e-02, -6.690132e-01 
3.000000e-01, 0.000000, 0.000000, 0, 2, 3.128381e-05, 89.914381, 4.674842e-08, 3.128378e-05 
3.000000e-01, 0.000000, 0.000000, 0, 3, 7.401583e-01, -1.332372, 7.399581e-01, -1.721029e-02 
3.000000e-01, 0.000000, 0.000000, 0, 4, 2.270701e-05, -108.242685, -7.108259e-06, -2.156573e-05 
3.000000e-01, 0.000000, 0.000000, 0, 5, 7.899175e-03, 93.360645, -4.630552e-04, 7.885591e-03 
3.000000e-01, 0.000000, 0.000000, 0, 6, 1.726353e-07, 33.478645, 1.439936e-07, 9.523014e-08 
3.300000e-01, 0.000000, 0.000000, 0, 1, 5.738681e-01, -98.324614, -8.308536e-02, -5.678216e-01 
3.300000e-01, 0.000000, 0.000000, 0, 2, 7.021984e-06, 157.505183, -6.487711e-06, 2.686610e-06 
3.300000e-01, 0.000000, 0.000000, 0, 3, 6.217147e-01, -2.176797, 6.212661e-01, -2.361467e-02 
3.300000e-01, 0.000000, 0.000000, 0, 4, 1.104575e-06, -75.285024, 2.805739e-07, -1.068346e-06 
3.300000e-01, 0.000000, 0.000000, 0, 5, 8.942693e-03, 94.243923, -6.617836e-04, 8.918172e-03 
3.300000e-01, 0.000000, 0.000000, 0, 6, 1.209839e-07, -35.982790, 9.789939e-08, -7.108315e-08 
3.600000e-01, 0.000000, 0.000000, 0, 1, 4.634246e-01, -100.336720, -8.315355e-02, -4.559034e-01 
3.600000e-01, 0.000000, 0.000000, 0, 2, 7.045591e-06, -178.351955, -7.042677e-06, -2.026301e-07 
3.600000e-01, 0.000000, 0.000000, 0, 3, 4.743032e-01, -2.950812, 4.736743e-01, -2.441647e-02 
3.600000e-01, 0.000000, 0.000000, 0, 4, 6.844662e-07, -40.980900, 5.167229e-07, -4.488780e-07 
3.600000e-01, 0.000000, 0.000000, 0, 5, 9.729168e-03, 94.855124, -8.234430e-04, 9.694258e-03 
3.600000e-01, 0.000000, 0.000000, 0, 6, 1.144638e-07, -10.924027, 1.123896e-07, -2.169171e-08 
3.900000e-01, 0.000000, 0.000000, 0, 1, 3.459238e-01, -103.084123, -7.831072e-02, -3.369432e-01 
3.900000e-01, 0.000000, 0.000000, 0, 2, 7.211800e-06, -155.620950, -6.568757e-06, -2.976825e-06 
3.900000e-01, 0.000000, 0.000000, 0, 3, 3.041570e-01, -2.921323, 3.037617e-01, -1.550124e-02 
3.900000e-01, 0.000000, 0.000000, 0, 4, 5.607874e-07, -17.799129, 5.339448e-07, -1.714220e-07 
3.900000e-01, 0.000000, 0.000000, 0, 5, 1.004025e-02, 94.873096, -8.529101e-04, 1.000396e-02 
3.900000e-01, 0.000000, 0.000000, 0, 6, 1.203140e-07, 19.662532, 1.132986e-07, 4.048321e-08 
4.200000e-01, 0.000000, 0.000000, 0, 1, 2.266278e-01, -106.856986, -6.571838e-02, -2.168899e-01 
4.200000e-01, 0.000000, 0.000000, 0, 2, 7.744994e-06, -132.003340, -5.182748e-06, -5.755350e-06 
4.200000e-01, 0.000000, 0.000000, 0, 3, 1.215061e-01, 2.503602, 1.213901e-01, 5.307652e-03 
4.200000e-01, 0.000000, 0.000000, 0, 4, 4.745647e-07, 3.041807, 4.738961e-07, 2.518259e-08 
4.200000e-01, 0.000000, 0.000000, 0, 5, 9.564813e-03, 94.355877, -7.264588e-04, 9.537185e-03 
4.200000e-01, 0.000000, 0.000000, 0, 6, 1.446187e-07, 46.104829, 1.002701e-07, 1.042136e-07 
4.500000e-01, 0.000000, 0.000000, 0, 1, 1.152434e-01, -111.469241, -4.217926e-02, -1.072471e-01 
4.500000e-01, 0.000000, 0.000000, 0, 2, 8.602324e-06, -110.390568, -2.997202e-06, -8.063297e-06 
4.500000e-01, 0.000000, 0.000000, 0, 3, 7.694060e-02, 143.612227, -6.193875e-02, 4.564479e-02 
4.500000e-01, 0.000000, 0.000000, 0, 4, 4.138797e-07, 24.846105, 3.755708e-07, 1.739050e-07 
4.500000e-01, 0.000000, 0.000000, 0, 5, 8.034626e-03, 94.409727, -6.177687e-04, 8.010841e-03 
4.500000e-01, 0.000000, 0.000000, 0, 6, 1.696984e-07, 64.918076, 7.193750e-08, 1.536963e-07 
4.800000e-01, 0.000000, 0.000000, 0, 1, 2.547840e-02, -113.281351, -1.007025e-02, -2.340382e-02 
4.800000e-01, 0.000000, 0.000000, 0, 2, 9.217179e-06, -90.482780, -7.766393e-08, -9.216851e-06 
4.800000e-01, 0.000000, 0.000000, 0, 3, 2.483608e-01, 148.746810, -2.123194e-01, 1.288548e-01 
4.800000e-01, 0.000000, 0.000000, 0, 4, 3.633693e-07, 46.829271, 2.486080e-07, 2.650118e-07 
4.800000e-01, 0.000000, 0.000000, 0, 5, 5.449709e-03, 99.618135, -9.105419e-04, 5.373104e-03 
4.800000e-01, 0.000000, 0.000000, 0, 6, 1.758542e-07, 82.488237, 2.298937e-08, 1.743450e-07 
5.100000e-01, 0.000000, 0.000000, 0, 1, 3.031983e-02, 49.859705, 1.954602e-02, 2.317855e-02 
5.100000e-01, 0.000000, 0.000000, 0, 2, 9.354472e-06, -68.450200, 3.435989e-06, -8.700582e-06 
5.100000e-01, 0.000000, 0.000000, 0, 3, 3.251629e-01, 135.174235, -2.306230e-01, 2.292246e-01 
5.100000e-01, 0.000000, 0.000000, 0, 4, 3.114985e-07, 71.973234, 9.639672e-08, 2.962077e-07 
5.100000e-01, 0.000000, 0.000000, 0, 5, 3.087823e-03, 135.545525, -2.204110e-03, 2.162533e-03 
5.100000e-01, 0.000000, 0.000000, 0, 6, 1.691306e-07, 106.623225, -4.838433e-08, 1.620620e-07 
5.400000e-01, 0.000000, 0.000000, 0, 1, 4.987210e-02, 48.456262, 3.307476e-02, 3.732676e-02 
5.400000e-01, 0.000000, 0.000000, 0, 2, 9.537314e-06, -41.042088, 7.193304e-06, -6.262326e-06 
5.400000e-01, 0.000000, 0.000000, 0, 3, 2.321314e-01, 128.011709, -1.429518e-01, 1.828929e-01 
5.400000e-01, 0.000000, 0.000000, 0, 4, 2.748699e-07, 102.425777, -5.914506e-08, 2.684313e-07 
5.400000e-01, 0.000000, 0.000000, 0, 5, 4.208238e-03, -179.157683, -4.207784e-03, -6.186398e-05 
5.400000e-01, 0.000000, 0.000000, 0, 6, 1.762039e-07, 136.972307, -1.288093e-07, 1.202330e-07 
5.700000e-01, 0.000000, 0.000000, 0, 1, 4.545508e-02, 45.173304, 3.204423e-02, 3.223867e-02 
5.700000e-01, 0.000000, 0.000000, 0, 2, 1.098895e-05, -13.425895, 1.068863e-05, -2.551496e-06 
5.700000e-01, 0.000000, 0.000000, 0, 3, 1.357236e-01, 158.103074, -1.259320e-01, 5.061650e-02 
5.700000e-01, 0.000000, 0.000000, 0, 4, 2.755668e-07, 136.122221, -1.986341e-07, 1.910015e-07 
5.700000e-01, 0.000000, 0.000000, 0, 5, 5.397942e-03, -170.143134, -5.318260e-03, -9.240598e-04 
5.700000e-01, 0.000000, 0.000000, 0, 6, 2.072278e-07, 164.770051, -1.999498e-07, 5.443741e-08 
6.000000e-01, 0.000000, 0.000000, 0, 1, 2.797346e-02, 38.312927, 2.194900e-02, 1.734232e-02 
6.000000e-01, 0.000000, 0.000000, 0, 2, 1.233800e-05, 6.402227, 1.226105e-05, 1.375780e-06 
6.000000e-01, 0.000000, 0.000000, 0, 3, 1.426856e-01, -165.585898, -1.381941e-01, -3.551847e-02 
6.000000e-01, 0.000000, 0.000000, 0, 4, 2.967307e-07, 162.820573, -2.834919e-07, 8.764386e-08 
6.000000e-01, 0.000000, 0.000000, 0, 5, 5.112033e-03, -166.563567, -4.972108e-03, -1.187865e-03 
6.000000e-01, 0.000000, 0.000000, 0, 6, 2.346362e-07, -176.190071, -2.341177e-07, -1.559083e-08 
6.300000e-01, 0.000000, 0.000000, 0, 1, 1.058764e-02, 9.862023, 1.043119e-02, 1.813410e-03 
6.300000e-01, 0.000000, 0.000000, 0, 2, 1.200233e-05, 25.865966, 1.079990e-05, 5.236227e-06 
6.300000e-01, 0.000000, 0.000000, 0, 3, 1.430267e-01, -148.258684, -1.216345e-01, -7.524420e-02 
6.300000e-01, 0.000000, 0.000000, 0, 4, 2.909578e-07, -174.091944, -2.894123e-07, -2.994898e-08 
6.300000e-01, 0.000000, 0.000000, 0, 5, 3.842665e-03, -159.029665, -3.588149e-03, -1.375230e-03 
6.300000e-01, 0.000000, 0.000000, 0, 6, 2.187247e-07, -157.346835, -2.018508e-07, -8.424221e-08 
6.600000e-01, 0.000000, 0.000000, 0, 1, 1.049362e-02, -71.700002, 3.294917e-03, -9.962910e-03 
6.600000e-01, 0.000000, 0.000000, 0, 2, 1.057318e-05, 50.416925, 6.737190e-06, 8.148764e-06 
6.600000e-01, 0.000000, 0.000000, 0, 3, 1.180024e-01, -131.716214, -7.852369e-02, -8.808286e-02 
6.600000e-01, 0.000000, 0.000000, 0, 4, 2.598422e-07, -149.604630, -2.241281e-07, -1.314708e-07 
6.600000e-01, 0.000000, 0.000000, 0, 5, 2.394720e-03, -140.855849, -1.857250e-03, -1.511724e-03 
6.600000e-01, 0.000000, 0.000000, 0, 6, 1.863330e-07, -128.223777, -1.152907e-07, -1.463833e-07 
6.900000e-01, 0.000000, 0.000000, 0, 1, 1.567689e-02, -85.697287, 1.176173e-03, -1.563270e-02 
6.900000e-01, 0.000000, 0.000000, 0, 2, 8.867392e-06, 82.696381, 1.127287e-06, 8.795446e-06 
6.900000e-01, 0.000000, 0.000000, 0, 3, 8.609318e-02, -109.995032, -2.943859e-02, -8.090368e-02 
6.900000e-01, 0.000000, 0.000000, 0, 4, 2.090937e-07, -120.581093, -1.063780e-07, -1.800109e-07 
6.900000e-01, 0.000000, 0.000000, 0, 5, 1.492254e-03, -103.021637, -3.362332e-04, -1.453881e-03 
6.900000e-01, 0.000000, 0.000000, 0, 6, 1.730051e-07, -92.777900, -8.384604e-09, -1.728018e-07 
7.200000e-01, 0.000000, 0.000000, 0, 1, 1.431733e-02, -80.733999, 2.305351e-03, -1.413051e-02 
7.200000e-01, 0.000000, 0.000000, 0, 2, 8.052900e-06, 123.276596, -4.418476e-06, 6.732478e-06 
7.200000e-01, 0.000000, 0.000000, 0, 3, 5.743676e-02, -80.706137, 9.275929e-03, -5.668279e-02 
7.200000e-01, 0.000000, 0.000000, 0, 4, 1.629359e-07, -80.565554, 2.670830e-08, -1.607320e-07 
7.200000e-01, 0.000000, 0.000000, 0, 5, 1.286768e-03, -59.850004, 6.462989e-04, -1.112685e-03 
7.200000e-01, 0.000000, 0.000000, 0, 6, 1.666569e-07, -58.767127, 8.641454e-08, -1.425028e-07 
7.500000e-01, 0.000000, 0.000000, 0, 1, 8.604972e-03, -59.232448, 4.401928e-03, -7.393820e-03 
7.500000e-01, 0.000000, 0.000000, 0, 2, 8.034400e-06, 161.344498, -7.612264e-06, 2.570022e-06 
7.500000e-01, 0.000000, 0.000000, 0, 3, 3.876996e-02, -39.035323, 3.011487e-02, -2.441730e-02 
7.500000e-01, 0.000000, 0.000000, 0, 4, 1.448682e-07, -32.730173, 1.218670e-07, -7.832786e-08 
7.500000e-01, 0.000000, 0.000000, 0, 5, 1.156671e-03, -29.926772, 1.002445e-03, -5.770548e-04 
7.500000e-01, 0.000000, 0.000000, 0, 6, 1.455929e-07, -24.270271, 1.327249e-07, -5.984470e-08 
7.800000e-01, 0.000000, 0.000000, 0, 1, 5.081239e-03, 5.218789, 5.060175e-03, 4.621853e-04 
7.800000e-01, 0.000000, 0.000000, 0, 2, 7.415646e-06, -161.690539, -7.040218e-06, -2.329619e-06 
7.800000e-01, 0.000000, 0.000000, 0, 3, 3.171873e-02, 6.864800, 3.149134e-02, 3.791241e-03 
7.800000e-01, 0.000000, 0.000000, 0, 4, 1.534056e-07, 14.174390, 1.487351e-07, 3.756504e-08 
7.800000e-01, 0.000000, 0.000000, 0, 5, 8.211471e-04, -2.826285, 8.201483e-04, -4.048911e-05 
7.800000e-01, 0.000000, 0.000000, 0, 6, 1.247514e-07, 23.150505, 1.147058e-07, 4.904572e-08 
8.100000e-01, 0.000000, 0.000000, 0, 1, 6.521312e-03, 59.828903, 3.277506e-03, 5.637859e-03 
8.100000e-01, 0.000000, 0.000000, 0, 2, 6.338892e-06, -120.979877, -3.262862e-06, -5.434637e-06 
8.100000e-01, 0.000000, 0.000000, 0, 3, 2.937629e-02, 43.159773, 2.142851e-02, 2.009441e-02 
8.100000e-01, 0.000000, 0.000000, 0, 4, 1.577757e-07, 50.090074, 1.012262e-07, 1.210225e-07 
8.100000e-01, 0.000000, 0.000000, 0, 5, 4.859425e-04, 41.973522, 3.612759e-04, 3.249920e-04 
8.100000e-01, 0.000000, 0.000000, 0, 6, 1.361406e-07, 72.383223, 4.120281e-08, 1.297559e-07 
8.400000e-01, 0.000000, 0.000000, 0, 1, 5.851291e-03, 91.746774, -1.783604e-04, 5.848572e-03 
8.400000e-01, 0.000000, 0.000000, 0, 2, 6.363219e-06, -66.863375, 2.500268e-06, -5.851429e-06 
8.400000e-01, 0.000000, 0.000000, 0, 3, 1.768302e-02, 90.146544, -4.522728e-05, 1.768296e-02 
8.400000e-01, 0.000000, 0.000000, 0, 4, 1.250120e-07, 92.524469, -5.506285e-09, 1.248907e-07 
8.400000e-01, 0.000000, 0.000000, 0, 5, 3.636152e-04, 110.313977, -1.262343e-04, 3.409999e-04 
8.400000e-01, 0.000000, 0.000000, 0, 6, 1.304551e-07, 117.918885, -6.108183e-08, 1.152716e-07 
8.700000e-01, 0.000000, 0.000000, 0, 1, 4.104530e-03, 135.030399, -2.903880e-03, 2.900801e-03 
8.700000e-01, 0.000000, 0.000000, 0, 2, 7.077419e-06, -15.013581, 6.835828e-06, -1.833391e-06 
8.700000e-01, 0.000000, 0.000000, 0, 3, 1.338236e-02, 141.014502, -1.040218e-02, 8.419157e-03 
8.700000e-01, 0.000000, 0.000000, 0, 4, 1.153915e-07, 149.609285, -9.953623e-08, 5.837588e-08 
8.700000e-01, 0.000000, 0.000000, 0, 5, 3.945495e-04, 147.149141, -3.314553e-04, 2.140250e-04 
