FRQ, BETA, SPEED, GROUP, Mode, Mod(F), Pha(F), Re(F), Im(F) 
1.800000e-01, 0.000000, 0.000000, 0, 4, 5.705142e-02, 124.959232, -3.269009e-02, 4.675706e-02 
1.800000e-01, 0.000000, 0.000000, 0, 5, 1.584766e+04, -84.183060, 1.606167e+03, -1.576606e+04 
1.800000e-01, 0.000000, 0.000000, 0, 6, 5.802251e-01, 39.294592, 4.490362e-01, 3.674611e-01 
2.100000e-01, 0.000000, 0.000000, 0, 1, 5.686969e+01, -140.279376, -4.374243e+01, -3.634227e+01 
2.100000e-01, 0.000000, 0.000000, 0, 2, 7.018192e-03, -165.443959, -6.792924e-03, -1.763860e-03 
2.100000e-01, 0.000000, 0.000000, 0, 3, 3.147713e+03, 152.837078, -2.800558e+03, 1.437001e+03 
2.100000e-01, 0.000000, 0.000000, 0, 4, 8.411730e-02, 112.742583, -3.251904e-02, 7.757727e-02 
2.100000e-01, 0.000000, 0.000000, 0, 5, 3.765077e+04, -90.690350, -4.536384e+02, -3.764803e+04 
2.100000e-01, 0.000000, 0.000000, 0, 6, 9.185534e-01, 44.451186, 6.557069e-01, 6.432642e-01 
2.400000e-01, 0.000000, 0.000000, 0, 1, 1.211278e+02, -122.846590, -6.569868e+01, -1.017626e+02 
2.400000e-01, 0.000000, 0.000000, 0, 2, 9.257580e-03, -153.507382, -8.285459e-03, -4.129644e-03 
2.400000e-01, 0.000000, 0.000000, 0, 3, 3.682077e+03, 148.600109, -3.142844e+03, 1.918392e+03 
2.400000e-01, 0.000000, 0.000000, 0, 4, 1.150529e-01, 102.981303, -2.584469e-02, 1.121125e-01 
2.400000e-01, 0.000000, 0.000000, 0, 5, 7.328051e+04, -95.389095, -6.882419e+03, -7.295660e+04 
2.400000e-01, 0.000000, 0.000000, 0, 6, 1.320443e+00, 48.331321, 8.778597e-01, 9.863732e-01 
2.700000e-01, 0.000000, 0.000000, 0, 1, 2.262920e+02, -118.524096, -1.080608e+02, -1.988238e+02 
2.700000e-01, 0.000000, 0.000000, 0, 2, 1.187246e-02, -140.607894, -9.175283e-03, -7.534546e-03 
2.700000e-01, 0.000000, 0.000000, 0, 3, 4.028675e+03, 144.961620, -3.298549e+03, 2.312963e+03 
2.700000e-01, 0.000000, 0.000000, 0, 4, 1.456016e-01, 96.050955, -1.534828e-02, 1.447904e-01 
2.700000e-01, 0.000000, 0.000000, 0, 5, 1.244590e+05, -100.057294, -2.173462e+04, -1.225465e+05 
2.700000e-01, 0.000000, 0.000000, 0, 6, 1.713887e+00, 52.809471, 1.035989e+00, 1.365333e+00 
3.000000e-01, 0.000000, 0.000000, 0, 1, 3.652496e+02, -119.630915, -1.805834e+02, -3.174853e+02 
3.000000e-01, 0.000000, 0.000000, 0, 2, 1.489232e-02, -125.956573, -8.744354e-03, -1.205477e-02 
3.000000e-01, 0.000000, 0.000000, 0, 3, 4.125905e+03, 142.118194, -3.256490e+03, 2.533448e+03 
3.000000e-01, 0.000000, 0.000000, 0, 4, 1.705164e-01, 92.493598, -7.418788e-03, 1.703550e-01 
3.000000e-01, 0.000000, 0.000000, 0, 5, 1.890600e+05, -104.934628, -4.872394e+04, -1.826737e+05 
3.000000e-01, 0.000000, 0.000000, 0, 6, 2.019165e+00, 60.212139, 1.003101e+00, 1.752375e+00 
3.300000e-01, 0.000000, 0.000000, 0, 1, 5.189517e+02, -123.103537, -2.834274e+02, -4.347181e+02 
3.300000e-01, 0.000000, 0.000000, 0, 2, 1.886342e-02, -109.482496, -6.291306e-03, -1.778336e-02 
