time_step,actual_x,actual_y,predicted_x,predicted_y,error
0,9.88882067139632,28.18182718328533,9.88882067139632,28.18182718328533,0.0
1,9.88882067139632,28.18182718328533,9.87708790033496,28.17402267868963,0.014091423234100973
2,9.88882067139632,28.18182718328533,9.865355555819338,28.16614346432832,0.028223938232704613
3,9.88882067139632,28.18182718328533,9.853602729657656,28.158171322600516,0.042425265644981495
4,9.88882067139632,28.18182718328533,9.841828459793692,28.150105367818448,0.05669692696981932
5,9.88882067139632,28.18182718328533,9.830032545993095,28.141943999969932,0.07104021396219795
6,9.88882067139632,28.18182718328533,9.818215487444764,28.13368602137414,0.0854556228167142
7,9.88882067139632,28.18182718328533,9.80466603945381,28.126038955462697,0.1009669670781948
8,9.887016623089956,28.18182718328533,9.793477167295283,28.116202586268606,0.11426380671048346
9,9.885557067908277,28.18182718328533,9.78434021111018,28.10584093251598,0.12656524959904453
10,9.881831281663649,28.188639164488865,9.775970305236047,28.093305365120592,0.14246080033537428
11,9.878340828557006,28.195020878144227,9.76692229035682,28.08117026363832,0.15929862861317656
12,9.875258701811742,28.193040696917883,9.759083791555828,28.068633088780167,0.17021710470900742
13,9.872702839633156,28.191398626126688,9.74811955905891,28.057795631637397,0.18267663762820555
14,9.869400290975172,28.189276829915134,9.739180773416525,28.04738113836718,0.19259156272557496
15,9.866724854367233,28.18653325779775,9.72884682837314,28.03557109081519,0.20445030181464102
16,9.793244359396668,28.046789938603894,9.718357764104372,28.02461674803269,0.07810027230796993
17,9.728672671644606,27.92398916030161,9.70922586872614,28.014852422227683,0.09292099069422392
18,9.714859022764829,27.912152867215315,9.697355067277318,28.00202076782805,0.09155669291891826
19,9.70125119419674,27.90049293227693,9.685580828147,27.992579397683564,0.09341026433545772
20,9.696216769476573,27.90744679627421,9.672522420914834,27.98121166129929,0.07747694796475522
21,9.688372482891388,27.918281818168683,9.660250802444285,27.970116977518025,0.05897213457168242
22,9.683902698365774,27.924455765623645,9.648396612064904,27.956520083298507,0.04784143217295389
23,9.67602872386496,27.93533179433401,9.631757949398821,27.938549297799888,0.0443875410490896
24,9.663959350518091,27.925734798631737,9.61882444649375,27.920748307307782,0.04540952165581932
25,9.647255093692934,27.912452362472585,9.60308854273892,27.901543444891992,0.04549383151542268
26,9.58665467122729,27.837990023220225,9.589066137479609,27.881882800658765,0.04395897042419513
27,9.51259323254868,27.746987555778176,9.575259935962027,27.860763446366015,0.1298925286371477
28,9.459753474590157,27.682061077990817,9.558339041577643,27.8388883871339,0.18524016549146166
29,9.392840724804866,27.599842511319185,9.541085013108319,27.81649947439653,0.2625197300480383
30,9.318238281940802,27.50817528882172,9.525598385291165,27.79405750980002,0.35316689642852617
31,9.256314945932605,27.43208742893767,9.509957873182362,27.771273779620948,0.42353525831229805
32,9.27838677868619,27.459387092750934,9.493712044240898,27.74818193813187,0.36023247036435374
33,9.278609139741684,27.46714155860229,9.47310372527129,27.72431597573084,0.32243886959506346
34,9.27902392975034,27.48160665884437,9.451272933663791,27.701186562826457,0.2790789379045986
