FRQ, I, J, Added Mass, Radiation Damping 
4.20E-01,1,2,5.51E-01,4.62E-01
4.20E-01,1,3,1.22E+04,5.28E+03
4.20E-01,1,4,-4.12E+00,-3.45E+00
4.20E-01,1,5,3.40E+06,4.00E+06
4.20E-01,1,6,1.74E+01,1.73E+00
4.20E-01,2,1,1.01E+00,3.18E-01
4.20E-01,2,2,3.12E+05,2.29E+05
4.20E-01,2,3,2.47E+00,9.25E-01
4.20E-01,2,4,3.95E+05,4.85E+04
4.20E-01,2,5,2.58E+02,2.31E+01
4.20E-01,2,6,3.68E+06,3.13E+06
4.20E-01,3,1,1.21E+04,5.32E+03
4.20E-01,3,2,2.07E-01,-3.07E-01
4.20E-01,3,3,3.30E+05,2.54E+05
4.20E-01,3,4,5.31E+00,8.39E+00
4.20E-01,3,5,-1.21E+06,1.56E+06
4.20E-01,3,6,-2.50E+00,-8.40E+01
4.20E-01,4,1,-6.70E+00,1.06E+00
4.20E-01,4,2,4.23E+05,9.59E+04
4.20E-01,4,3,-1.57E+01,1.02E+01
4.20E-01,4,4,2.79E+07,4.53E+05
4.20E-01,4,5,-1.87E+03,7.05E+02
4.20E-01,4,6,5.06E+07,1.47E+07
4.20E-01,5,1,3.40E+06,3.99E+06
4.20E-01,5,2,8.62E+01,1.19E+02
4.20E-01,5,3,-1.22E+06,1.54E+06
4.20E-01,5,4,-6.80E+01,-1.29E+03
4.20E-01,5,5,2.47E+09,1.41E+09
4.20E-01,5,6,-7.28E+03,-1.01E+04
4.20E-01,6,1,-5.05E+01,3.70E+01
4.20E-01,6,2,3.66E+06,3.14E+06
4.20E-01,6,3,-3.05E+02,1.20E+00
4.20E-01,6,4,5.07E+07,1.42E+07
4.20E-01,6,5,-4.34E+04,6.13E+03
4.20E-01,6,6,2.11E+09,6.36E+08
4.50E-01,1,1,1.50E+04,1.25E+04
4.50E-01,1,2,5.56E-01,4.53E-01
4.50E-01,1,3,1.12E+04,4.83E+03
4.50E-01,1,4,-4.64E+00,-3.04E+00
4.50E-01,1,5,2.73E+06,3.76E+06
4.50E-01,1,6,2.72E+00,1.61E+01
4.50E-01,2,1,9.95E-01,3.50E-01
4.50E-01,2,2,2.68E+05,2.53E+05
4.50E-01,2,3,2.42E+00,8.71E-01
4.50E-01,2,4,4.01E+05,1.24E+05
4.50E-01,2,5,2.75E+02,2.61E+01
4.50E-01,2,6,3.07E+06,3.60E+06
4.50E-01,3,1,1.11E+04,4.87E+03
4.50E-01,3,2,2.53E-01,-1.67E-01
4.50E-01,3,3,3.16E+05,2.19E+05
4.50E-01,3,4,4.72E+00,7.29E+00
4.50E-01,3,5,-1.29E+06,1.74E+06
4.50E-01,3,6,-3.00E+01,-8.64E+01
4.50E-01,4,1,-7.29E+00,3.05E-01
4.50E-01,4,2,4.19E+05,1.76E+05
4.50E-01,4,3,-1.61E+01,8.87E+00
4.50E-01,4,4,2.80E+07,7.32E+05
4.50E-01,4,5,-2.23E+03,5.13E+02
4.50E-01,4,6,4.92E+07,2.19E+07
4.50E-01,5,1,2.74E+06,3.76E+06
4.50E-01,5,2,7.46E+01,9.56E+01
4.50E-01,5,3,-1.29E+06,1.71E+06
4.50E-01,5,4,9.16E+01,-7.60E+02
4.50E-01,5,5,2.22E+09,1.38E+09
4.50E-01,5,6,-8.78E+03,-4.37E+03
4.50E-01,6,1,-5.43E+01,2.70E+01
4.50E-01,6,2,3.05E+06,3.61E+06
4.50E-01,6,3,-2.93E+02,-2.42E+01
4.50E-01,6,4,4.94E+07,2.15E+07
4.50E-01,6,5,-4.70E+04,-1.53E+03
4.50E-01,6,6,2.05E+09,9.37E+08
4.80E-01,1,1,1.41E+04,1.21E+04
4.80E-01,1,2,5.68E-01,4.90E-01
4.80E-01,1,3,1.08E+04,4.12E+03
4.80E-01,1,4,-5.20E+00,-3.60E+00
4.80E-01,1,5,2.26E+06,3.37E+06
4.80E-01,1,6,-1.42E+01,1.42E+01
4.80E-01,2,1,1.01E+00,3.57E-01
4.80E-01,2,2,2.23E+05,2.61E+05
4.80E-01,2,3,2.59E+00,8.12E-01
4.80E-01,2,4,3.73E+05,1.94E+05
4.80E-01,2,5,2.99E+02,3.76E+01
4.80E-01,2,6,2.41E+06,3.82E+06
4.80E-01,3,1,1.07E+04,4.17E+03
4.80E-01,3,2,1.73E-01,-8.84E-02
4.80E-01,3,3,3.09E+05,1.88E+05
4.80E-01,3,4,5.34E+00,6.93E+00
4.80E-01,3,5,-1.41E+06,1.92E+06
4.80E-01,3,6,-3.98E+01,-1.01E+02
4.80E-01,4,1,-7.53E+00,-4.66E-01
4.80E-01,4,2,3.81E+05,2.46E+05
4.80E-01,4,3,-1.72E+01,8.09E+00
4.80E-01,4,4,2.81E+07,1.08E+06
4.80E-01,4,5,-2.52E+03,1.92E+02
4.80E-01,4,6,4.45E+07,2.78E+07
4.80E-01,5,1,2.27E+06,3.37E+06
4.80E-01,5,2,7.56E+01,7.07E+01
4.80E-01,5,3,-1.42E+06,1.89E+06
4.80E-01,5,4,-6.48E+01,-2.84E+02
4.80E-01,5,5,2.01E+09,1.29E+09
4.80E-01,5,6,-1.31E+04,-1.91E+03
4.80E-01,6,1,-5.03E+01,2.29E+01
4.80E-01,6,2,2.39E+06,3.82E+06
4.80E-01,6,3,-2.77E+02,-2.88E+01
4.80E-01,6,4,4.48E+07,2.74E+07
4.80E-01,6,5,-4.62E+04,-8.74E+03
4.80E-01,6,6,1.86E+09,1.20E+09
5.10E-01,1,1,1.37E+04,1.19E+04
5.10E-01,1,2,5.32E-01,5.60E-01
5.10E-01,1,3,1.11E+04,3.66E+03
5.10E-01,1,4,-4.75E+00,-4.72E+00
5.10E-01,1,5,2.02E+06,2.96E+06
5.10E-01,1,6,-1.95E+01,3.42E-01
5.10E-01,2,1,1.06E+00,3.72E-01
5.10E-01,2,2,1.85E+05,2.57E+05
5.10E-01,2,3,2.92E+00,9.38E-01
5.10E-01,2,4,3.23E+05,2.39E+05
5.10E-01,2,5,3.20E+02,6.49E+01
5.10E-01,2,6,1.80E+06,3.84E+06
5.10E-01,3,1,1.10E+04,3.73E+03
5.10E-01,3,2,7.60E-02,-1.63E-01
5.10E-01,3,3,3.08E+05,1.63E+05
5.10E-01,3,4,6.02E+00,8.02E+00
5.10E-01,3,5,-1.59E+06,2.08E+06
5.10E-01,3,6,-3.05E+01,-1.15E+02
5.10E-01,4,1,-7.62E+00,-9.57E-01
5.10E-01,4,2,3.23E+05,2.89E+05
5.10E-01,4,3,-1.90E+01,6.98E+00
5.10E-01,4,4,2.81E+07,1.46E+06
5.10E-01,4,5,-2.67E+03,-1.79E+02
5.10E-01,4,6,3.83E+07,3.05E+07
5.10E-01,5,1,2.02E+06,2.96E+06
5.10E-01,5,2,9.01E+01,5.42E+01
5.10E-01,5,3,-1.58E+06,2.05E+06
5.10E-01,5,4,-3.97E+02,-6.90E+01
5.10E-01,5,5,1.86E+09,1.14E+09
5.10E-01,5,6,-1.67E+04,-3.33E+03
5.10E-01,6,1,-4.90E+01,3.06E+01
5.10E-01,6,2,1.79E+06,3.83E+06
5.10E-01,6,3,-2.75E+02,-1.28E+01
5.10E-01,6,4,3.87E+07,3.02E+07
5.10E-01,6,5,-4.34E+04,-1.18E+04
5.10E-01,6,6,1.59E+09,1.35E+09
5.40E-01,1,1,1.32E+04,1.23E+04
5.40E-01,1,2,4.43E-01,5.85E-01
5.40E-01,1,3,1.15E+04,3.83E+03
5.40E-01,1,4,-3.21E+00,-5.04E+00
5.40E-01,1,5,1.93E+06,2.66E+06
5.40E-01,1,6,-6.40E+00,-9.83E+00
5.40E-01,2,1,1.14E+00,4.24E-01
5.40E-01,2,2,1.55E+05,2.48E+05
5.40E-01,2,3,3.19E+00,1.32E+00
5.40E-01,2,4,2.73E+05,2.56E+05
5.40E-01,2,5,3.23E+02,9.85E+01
5.40E-01,2,6,1.31E+06,3.74E+06
5.40E-01,3,1,1.15E+04,3.91E+03
5.40E-01,3,2,1.33E-01,-3.29E-01
5.40E-01,3,3,3.08E+05,1.43E+05
5.40E-01,3,4,5.50E+00,1.01E+01
5.40E-01,3,5,-1.78E+06,2.20E+06
5.40E-01,3,6,-6.68E+00,-1.12E+02
5.40E-01,4,1,-8.02E+00,-1.23E+00
5.40E-01,4,2,2.67E+05,3.02E+05
5.40E-01,4,3,-2.12E+01,4.85E+00
5.40E-01,4,4,2.79E+07,1.82E+06
5.40E-01,4,5,-2.72E+03,-5.02E+02
5.40E-01,4,6,3.33E+07,3.04E+07
5.40E-01,5,1,1.93E+06,2.66E+06
5.40E-01,5,2,1.08E+02,5.34E+01
5.40E-01,5,3,-1.78E+06,2.18E+06
5.40E-01,5,4,-6.43E+02,-1.08E+02
5.40E-01,5,5,1.78E+09,9.96E+08
5.40E-01,5,6,-1.73E+04,-6.42E+03
5.40E-01,6,1,-6.24E+01,4.27E+01
5.40E-01,6,2,1.30E+06,3.74E+06
5.40E-01,6,3,-3.04E+02,5.08E+00
5.40E-01,6,4,3.37E+07,3.01E+07
5.40E-01,6,5,-4.36E+04,-1.15E+04
5.40E-01,6,6,1.32E+09,1.38E+09
5.70E-01,1,1,1.24E+04,1.29E+04
5.70E-01,1,2,3.79E-01,5.51E-01
5.70E-01,1,3,1.16E+04,4.51E+03
5.70E-01,1,4,-1.97E+00,-3.80E+00
5.70E-01,1,5,1.87E+06,2.48E+06
5.70E-01,1,6,1.20E+01,2.53E+00
5.70E-01,2,1,1.21E+00,5.20E-01
5.70E-01,2,2,1.30E+05,2.38E+05
5.70E-01,2,3,3.24E+00,1.81E+00
5.70E-01,2,4,2.38E+05,2.59E+05
5.70E-01,2,5,3.12E+02,1.16E+02
5.70E-01,2,6,9.04E+05,3.61E+06
5.70E-01,3,1,1.16E+04,4.61E+03
5.70E-01,3,2,3.51E-01,-3.74E-01
5.70E-01,3,3,3.08E+05,1.25E+05
5.70E-01,3,4,3.18E+00,1.19E+01
5.70E-01,3,5,-1.99E+06,2.28E+06
5.70E-01,3,6,6.10E+00,-8.11E+01
5.70E-01,4,1,-8.89E+00,-1.85E+00
5.70E-01,4,2,2.28E+05,3.00E+05
5.70E-01,4,3,-2.28E+01,1.59E+00
5.70E-01,4,4,2.77E+07,2.12E+06
5.70E-01,4,5,-2.79E+03,-7.80E+02
5.70E-01,4,6,3.04E+07,2.94E+07
5.70E-01,5,1,1.87E+06,2.48E+06
5.70E-01,5,2,1.18E+02,6.46E+01
5.70E-01,5,3,-1.99E+06,2.27E+06
5.70E-01,5,4,-6.92E+02,-1.87E+02
5.70E-01,5,5,1.74E+09,8.70E+08
5.70E-01,5,6,-1.50E+04,-7.78E+03
5.70E-01,6,1,-9.16E+01,4.27E+01
5.70E-01,6,2,9.01E+05,3.61E+06
5.70E-01,6,3,-3.58E+02,-6.49E+00
5.70E-01,6,4,3.09E+07,2.91E+07
5.70E-01,6,5,-4.87E+04,-1.27E+04
5.70E-01,6,6,1.12E+09,1.32E+09
6.00E-01,1,1,1.10E+04,1.33E+04
6.00E-01,1,2,3.61E-01,5.11E-01
6.00E-01,1,3,1.11E+04,5.11E+03
6.00E-01,1,4,-2.43E+00,-2.12E+00
6.00E-01,1,5,1.76E+06,2.36E+06
6.00E-01,1,6,6.73E+00,2.96E+01
6.00E-01,2,1,1.25E+00,6.24E-01
6.00E-01,2,2,1.08E+05,2.26E+05
6.00E-01,2,3,3.14E+00,2.15E+00
6.00E-01,2,4,2.15E+05,2.63E+05
6.00E-01,2,5,3.15E+02,1.12E+02
6.00E-01,2,6,5.56E+05,3.46E+06
6.00E-01,3,1,1.10E+04,5.25E+03
6.00E-01,3,2,5.23E-01,-2.28E-01
6.00E-01,3,3,3.09E+05,1.09E+05
6.00E-01,3,4,-1.13E-01,1.19E+01
6.00E-01,3,5,-2.20E+06,2.33E+06
6.00E-01,3,6,-1.66E+01,-5.04E+01
6.00E-01,4,1,-9.66E+00,-3.29E+00
6.00E-01,4,2,2.03E+05,3.00E+05
6.00E-01,4,3,-2.30E+01,-2.02E+00
6.00E-01,4,4,2.74E+07,2.36E+06
6.00E-01,4,5,-2.88E+03,-1.10E+03
6.00E-01,4,6,2.90E+07,2.96E+07
6.00E-01,5,1,1.76E+06,2.36E+06
6.00E-01,5,2,1.15E+02,7.81E+01
6.00E-01,5,3,-2.20E+06,2.32E+06
6.00E-01,5,4,-6.65E+02,-1.38E+02
6.00E-01,5,5,1.73E+09,7.77E+08
6.00E-01,5,6,-1.33E+04,-5.70E+03
6.00E-01,6,1,-1.20E+02,1.78E+01
6.00E-01,6,2,5.49E+05,3.46E+06
6.00E-01,6,3,-3.97E+02,-5.98E+01
6.00E-01,6,4,2.95E+07,2.94E+07
6.00E-01,6,5,-5.49E+04,-1.94E+04
6.00E-01,6,6,9.84E+08,1.26E+09
6.30E-01,1,1,9.54E+03,1.31E+04
6.30E-01,1,2,3.76E-01,4.89E-01
6.30E-01,1,3,1.04E+04,5.25E+03
6.30E-01,1,4,-4.04E+00,-1.82E+00
6.30E-01,1,5,1.61E+06,2.21E+06
6.30E-01,1,6,-2.16E+01,3.79E+01
6.30E-01,2,1,1.29E+00,7.14E-01
6.30E-01,2,2,8.94E+04,2.12E+05
6.30E-01,2,3,3.18E+00,2.37E+00
6.30E-01,2,4,1.93E+05,2.73E+05
6.30E-01,2,5,3.50E+02,1.14E+02
6.30E-01,2,6,2.40E+05,3.29E+06
6.30E-01,3,1,1.03E+04,5.41E+03
6.30E-01,3,2,5.33E-01,-4.74E-02
6.30E-01,3,3,3.11E+05,9.35E+04
6.30E-01,3,4,-2.30E+00,9.96E+00
6.30E-01,3,5,-2.40E+06,2.36E+06
6.30E-01,3,6,-5.34E+01,-5.32E+01
6.30E-01,4,1,-9.62E+00,-5.07E+00
6.30E-01,4,2,1.79E+05,3.07E+05
6.30E-01,4,3,-2.24E+01,-4.57E+00
6.30E-01,4,4,2.71E+07,2.52E+06
6.30E-01,4,5,-2.94E+03,-1.47E+03
6.30E-01,4,6,2.68E+07,3.09E+07
6.30E-01,5,1,1.61E+06,2.21E+06
6.30E-01,5,2,1.03E+02,7.72E+01
6.30E-01,5,3,-2.40E+06,2.34E+06
6.30E-01,5,4,-7.34E+02,2.09E+01
6.30E-01,5,5,1.72E+09,7.09E+08
6.30E-01,5,6,-1.55E+04,-3.36E+03
6.30E-01,6,1,-1.26E+02,-2.02E+01
6.30E-01,6,2,2.31E+05,3.29E+06
6.30E-01,6,3,-3.91E+02,-1.14E+02
6.30E-01,6,4,2.73E+07,3.08E+07
6.30E-01,6,5,-5.69E+04,-3.00E+04
6.30E-01,6,6,8.78E+08,1.21E+09
6.60E-01,1,1,8.34E+03,1.25E+04
6.60E-01,1,2,3.98E-01,5.07E-01
6.60E-01,1,3,9.86E+03,5.03E+03
6.60E-01,1,4,-4.96E+00,-3.05E+00
6.60E-01,1,5,1.49E+06,2.01E+06
6.60E-01,1,6,-4.18E+01,2.00E+01
6.60E-01,2,1,1.34E+00,8.22E-01
6.60E-01,2,2,7.49E+04,1.97E+05
6.60E-01,2,3,3.42E+00,2.78E+00
6.60E-01,2,4,1.64E+05,2.83E+05
6.60E-01,2,5,3.94E+02,1.55E+02
6.60E-01,2,6,-2.61E+04,3.08E+06
6.60E-01,3,1,9.76E+03,5.21E+03
6.60E-01,3,2,4.75E-01,1.62E-02
6.60E-01,3,3,3.15E+05,7.97E+04
6.60E-01,3,4,-2.67E+00,8.36E+00
6.60E-01,3,5,-2.61E+06,2.37E+06
6.60E-01,3,6,-6.86E+01,-7.96E+01
6.60E-01,4,1,-9.07E+00,-6.48E+00
6.60E-01,4,2,1.49E+05,3.14E+05
6.60E-01,4,3,-2.26E+01,-6.51E+00
6.60E-01,4,4,2.68E+07,2.57E+06
6.60E-01,4,5,-2.99E+03,-1.91E+03
6.60E-01,4,6,2.34E+07,3.17E+07
6.60E-01,5,1,1.49E+06,2.01E+06
6.60E-01,5,2,1.08E+02,6.28E+01
6.60E-01,5,3,-2.61E+06,2.35E+06
6.60E-01,5,4,-9.83E+02,1.48E+02
6.60E-01,5,5,1.70E+09,6.47E+08
6.60E-01,5,6,-1.90E+04,-4.54E+03
6.60E-01,6,1,-1.13E+02,-4.40E+01
6.60E-01,6,2,-3.34E+04,3.08E+06
6.60E-01,6,3,-3.74E+02,-1.28E+02
6.60E-01,6,4,2.39E+07,3.16E+07
6.60E-01,6,5,-5.50E+04,-3.90E+04
6.60E-01,6,6,7.75E+08,1.17E+09
6.90E-01,1,1,7.49E+03,1.19E+04
6.90E-01,1,2,3.93E-01,5.36E-01
6.90E-01,1,3,9.68E+03,4.85E+03
6.90E-01,1,4,-4.42E+00,-4.19E+00
6.90E-01,1,5,1.41E+06,1.80E+06
6.90E-01,1,6,-3.92E+01,-4.85E-01
6.90E-01,2,1,1.38E+00,9.43E-01
6.90E-01,2,2,6.41E+04,1.83E+05
6.90E-01,2,3,3.56E+00,3.50E+00
6.90E-01,2,4,1.32E+05,2.84E+05
6.90E-01,2,5,4.00E+02,2.20E+02
6.90E-01,2,6,-2.34E+05,2.86E+06
6.90E-01,3,1,9.58E+03,5.04E+03
6.90E-01,3,2,5.24E-01,5.50E-03
6.90E-01,3,3,3.19E+05,6.81E+04
6.90E-01,3,4,-3.13E+00,8.34E+00
6.90E-01,3,5,-2.82E+06,2.34E+06
6.90E-01,3,6,-5.97E+01,-9.48E+01
6.90E-01,4,1,-8.56E+00,-7.62E+00
6.90E-01,4,2,1.16E+05,3.13E+05
6.90E-01,4,3,-2.32E+01,-9.85E+00
6.90E-01,4,4,2.66E+07,2.58E+06
6.90E-01,4,5,-2.92E+03,-2.46E+03
6.90E-01,4,6,1.99E+07,3.11E+07
6.90E-01,5,1,1.42E+06,1.80E+06
6.90E-01,5,2,1.34E+02,6.57E+01
6.90E-01,5,3,-2.81E+06,2.32E+06
6.90E-01,5,4,-1.33E+03,6.24E+01
6.90E-01,5,5,1.68E+09,5.80E+08
6.90E-01,5,6,-2.04E+04,-7.94E+03
6.90E-01,6,1,-1.10E+02,-5.38E+01
6.90E-01,6,2,-2.38E+05,2.86E+06
6.90E-01,6,3,-3.95E+02,-1.26E+02
6.90E-01,6,4,2.04E+07,3.10E+07
6.90E-01,6,5,-5.40E+04,-4.60E+04
6.90E-01,6,6,6.80E+08,1.11E+09
7.20E-01,1,1,6.80E+03,1.14E+04
7.20E-01,1,2,3.88E-01,5.51E-01
7.20E-01,1,3,9.53E+03,4.90E+03
7.20E-01,1,4,-3.76E+00,-4.17E+00
7.20E-01,1,5,1.38E+06,1.61E+06
7.20E-01,1,6,-3.10E+01,-3.67E+00
7.20E-01,2,1,1.44E+00,1.07E+00
7.20E-01,2,2,5.56E+04,1.70E+05
7.20E-01,2,3,3.47E+00,4.37E+00
7.20E-01,2,4,1.04E+05,2.79E+05
7.20E-01,2,5,3.78E+02,2.55E+02
7.20E-01,2,6,-3.94E+05,2.65E+06
7.20E-01,3,1,9.43E+03,5.11E+03
7.20E-01,3,2,6.75E-01,1.01E-01
7.20E-01,3,3,3.23E+05,5.82E+04
7.20E-01,3,4,-5.60E+00,8.19E+00
7.20E-01,3,5,-3.02E+06,2.28E+06
7.20E-01,3,6,-6.26E+01,-8.77E+01
7.20E-01,4,1,-8.08E+00,-9.04E+00
7.20E-01,4,2,8.79E+04,3.06E+05
7.20E-01,4,3,-2.16E+01,-1.43E+01
7.20E-01,4,4,2.64E+07,2.62E+06
7.20E-01,4,5,-2.68E+03,-2.99E+03
7.20E-01,4,6,1.74E+07,2.98E+07
7.20E-01,5,1,1.39E+06,1.61E+06
7.20E-01,5,2,1.50E+02,9.47E+01
7.20E-01,5,3,-3.01E+06,2.25E+06
7.20E-01,5,4,-1.56E+03,-2.38E+02
7.20E-01,5,5,1.68E+09,5.13E+08
7.20E-01,5,6,-1.98E+04,-1.06E+04
7.20E-01,6,1,-1.20E+02,-7.72E+01
7.20E-01,6,2,-3.97E+05,2.65E+06
7.20E-01,6,3,-4.37E+02,-1.60E+02
7.20E-01,6,4,1.80E+07,2.97E+07
7.20E-01,6,5,-5.52E+04,-5.60E+04
7.20E-01,6,6,6.06E+08,1.04E+09
7.50E-01,1,1,6.10E+03,1.08E+04
7.50E-01,1,2,4.02E-01,5.67E-01
7.50E-01,1,3,9.19E+03,4.95E+03
7.50E-01,1,4,-4.07E+00,-4.18E+00
7.50E-01,1,5,1.37E+06,1.44E+06
7.50E-01,1,6,-3.76E+01,-4.46E+00
7.50E-01,2,1,1.53E+00,1.23E+00
7.50E-01,2,2,4.88E+04,1.57E+05
7.50E-01,2,3,3.27E+00,5.36E+00
7.50E-01,2,4,8.12E+04,2.72E+05
7.50E-01,2,5,3.79E+02,2.62E+02
7.50E-01,2,6,-5.25E+05,2.45E+06
7.50E-01,3,1,9.09E+03,5.23E+03
7.50E-01,3,2,7.86E-01,3.29E-01
7.50E-01,3,3,3.26E+05,4.89E+04
7.50E-01,3,4,-8.56E+00,5.10E+00
7.50E-01,3,5,-3.18E+06,2.18E+06
7.50E-01,3,6,-9.16E+01,-9.82E+01
7.50E-01,4,1,-6.80E+00,-1.06E+01
7.50E-01,4,2,6.46E+04,2.98E+05
7.50E-01,4,3,-1.68E+01,-1.60E+01
7.50E-01,4,4,2.62E+07,2.69E+06
7.50E-01,4,5,-2.34E+03,-3.37E+03
7.50E-01,4,6,1.56E+07,2.88E+07
7.50E-01,5,1,1.38E+06,1.44E+06
7.50E-01,5,2,1.45E+02,1.23E+02
7.50E-01,5,3,-3.18E+06,2.15E+06
7.50E-01,5,4,-1.59E+03,-5.84E+02
7.50E-01,5,5,1.68E+09,4.55E+08
7.50E-01,5,6,-1.96E+04,-1.24E+04
7.50E-01,6,1,-1.15E+02,-1.22E+02
7.50E-01,6,2,-5.29E+05,2.45E+06
7.50E-01,6,3,-4.35E+02,-2.08E+02
7.50E-01,6,4,1.61E+07,2.88E+07
7.50E-01,6,5,-5.38E+04,-7.10E+04
7.50E-01,6,6,5.47E+08,9.78E+08
7.80E-01,1,1,5.45E+03,1.02E+04
7.80E-01,1,2,4.40E-01,6.12E-01
7.80E-01,1,3,8.76E+03,4.76E+03
7.80E-01,1,4,-4.21E+00,-5.09E+00
7.80E-01,1,5,1.36E+06,1.28E+06
7.80E-01,1,6,-4.53E+01,-2.04E+01
7.80E-01,2,1,1.60E+00,1.45E+00
7.80E-01,2,2,4.35E+04,1.46E+05
7.80E-01,2,3,2.99E+00,6.89E+00
7.80E-01,2,4,5.94E+04,2.65E+05
7.80E-01,2,5,3.92E+02,2.71E+02
7.80E-01,2,6,-6.35E+05,2.26E+06
7.80E-01,3,1,8.66E+03,5.16E+03
7.80E-01,3,2,8.15E-01,6.24E-01
7.80E-01,3,3,3.28E+05,3.80E+04
7.80E-01,3,4,-8.25E+00,3.35E-01
7.80E-01,3,5,-3.28E+06,2.07E+06
7.80E-01,3,6,-1.06E+02,-1.40E+02
7.80E-01,4,1,-5.41E+00,-1.10E+01
7.80E-01,4,2,4.28E+04,2.90E+05
7.80E-01,4,3,-1.38E+01,-1.07E+01
7.80E-01,4,4,2.59E+07,2.73E+06
7.80E-01,4,5,-2.30E+03,-3.64E+03
7.80E-01,4,6,1.38E+07,2.81E+07
7.80E-01,5,1,1.37E+06,1.29E+06
7.80E-01,5,2,1.41E+02,1.38E+02
7.80E-01,5,3,-3.29E+06,2.01E+06
7.80E-01,5,4,-1.46E+03,-8.14E+02
7.80E-01,5,5,1.68E+09,4.03E+08
7.80E-01,5,6,-1.98E+04,-1.49E+04
7.80E-01,6,1,-8.49E+01,-1.63E+02
7.80E-01,6,2,-6.40E+05,2.26E+06
7.80E-01,6,3,-4.03E+02,-1.55E+02
7.80E-01,6,4,1.42E+07,2.81E+07
7.80E-01,6,5,-4.97E+04,-8.98E+04
7.80E-01,6,6,4.98E+08,9.18E+08
8.10E-01,1,1,4.94E+03,9.44E+03
8.10E-01,1,2,4.60E-01,7.10E-01
8.10E-01,1,3,7.90E+03,3.42E+03
8.10E-01,1,4,-3.56E+00,-5.89E+00
8.10E-01,1,5,1.36E+06,1.09E+06
8.10E-01,1,6,-4.06E+01,-4.01E+01
8.10E-01,2,1,1.74E+00,1.62E+00
8.10E-01,2,2,3.95E+04,1.34E+05
8.10E-01,2,3,3.27E+00,1.49E+01
8.10E-01,2,4,3.78E+04,2.56E+05
8.10E-01,2,5,3.63E+02,8.96E+01
8.10E-01,2,6,-7.23E+05,2.07E+06
8.10E-01,3,1,8.00E+03,4.84E+03
8.10E-01,3,2,7.46E-01,9.74E-01
8.10E-01,3,3,3.00E+05,-3.33E+03
8.10E-01,3,4,-5.33E+00,-2.30E+00
8.10E-01,3,5,-2.95E+06,2.28E+06
8.10E-01,3,6,-9.42E+01,-1.77E+02
8.10E-01,4,1,-4.96E+00,-1.21E+01
8.10E-01,4,2,2.13E+04,2.80E+05
8.10E-01,4,3,-1.24E+01,1.80E+01
8.10E-01,4,4,2.56E+07,2.66E+06
8.10E-01,4,5,-2.82E+03,-5.20E+03
8.10E-01,4,6,1.18E+07,2.70E+07
8.10E-01,5,1,1.38E+06,1.11E+06
8.10E-01,5,2,1.48E+02,1.66E+02
8.10E-01,5,3,-3.15E+06,1.81E+06
8.10E-01,5,4,-1.44E+03,-8.82E+02
8.10E-01,5,5,1.66E+09,3.31E+08
8.10E-01,5,6,-1.97E+04,-1.83E+04
8.10E-01,6,1,-3.97E+01,-1.99E+02
8.10E-01,6,2,-7.27E+05,2.07E+06
8.10E-01,6,3,-3.68E+02,7.89E+02
8.10E-01,6,4,1.23E+07,2.70E+07
8.10E-01,6,5,-4.70E+04,-1.38E+05
8.10E-01,6,6,4.56E+08,8.58E+08
8.40E-01,1,1,4.37E+03,9.01E+03
8.40E-01,1,2,4.26E-01,8.11E-01
8.40E-01,1,3,8.34E+03,4.98E+03
8.40E-01,1,4,-3.20E+00,-6.18E+00
8.40E-01,1,5,1.43E+06,1.36E+06
8.40E-01,1,6,-3.30E+01,-5.42E+01
8.40E-01,2,1,1.13E+00,2.24E+00
8.40E-01,2,2,3.65E+04,1.24E+05
8.40E-01,2,3,8.10E-01,7.51E+00
8.40E-01,2,4,1.90E+04,2.44E+05
8.40E-01,2,5,8.17E+01,1.32E+03
8.40E-01,2,6,-7.88E+05,1.89E+06
8.40E-01,3,1,7.68E+03,5.48E+03
8.40E-01,3,2,5.64E-01,1.26E+00
8.40E-01,3,3,3.50E+05,4.32E+04
8.40E-01,3,4,-5.87E+00,-1.82E+00
8.40E-01,3,5,-3.51E+06,2.36E+06
8.40E-01,3,6,-8.67E+01,-1.98E+02
8.40E-01,4,1,-6.63E+00,-1.25E+01
8.40E-01,4,2,2.55E+03,2.67E+05
8.40E-01,4,3,-2.65E+01,-2.30E+01
8.40E-01,4,4,2.54E+07,2.51E+06
8.40E-01,4,5,-2.66E+03,-1.49E+03
8.40E-01,4,6,1.02E+07,2.57E+07
8.40E-01,5,1,1.34E+06,1.18E+06
8.40E-01,5,2,1.37E+02,2.09E+02
8.40E-01,5,3,-3.62E+06,1.84E+06
8.40E-01,5,4,-1.59E+03,-1.14E+03
8.40E-01,5,5,1.81E+09,5.39E+08
8.40E-01,5,6,-1.96E+04,-2.24E+04
8.40E-01,6,1,-9.45E+01,-1.67E+02
8.40E-01,6,2,-7.92E+05,1.89E+06
8.40E-01,6,3,-5.52E+02,-4.14E+02
8.40E-01,6,4,1.07E+07,2.57E+07
8.40E-01,6,5,-5.93E+04,1.65E+04
8.40E-01,6,6,4.23E+08,8.01E+08
8.70E-01,1,1,4.34E+03,8.08E+03
8.70E-01,1,2,3.94E-01,8.81E-01
8.70E-01,1,3,8.01E+03,5.44E+03
8.70E-01,1,4,-3.16E+00,-7.12E+00
8.70E-01,1,5,1.43E+06,9.09E+05
