FRQ, I, J, Added Mass, Radiation Damping 
3.00E-02,6,6,1.39E+09,5.60E+01
6.00E-02,1,1,1.86E+04,1.43E+00
6.00E-02,1,2,6.69E-01,-1.03E-04
6.00E-02,1,3,1.16E+04,-6.49E+01
6.00E-02,1,4,-6.48E+00,-3.76E-04
6.00E-02,1,5,4.83E+06,5.07E+02
6.00E-02,1,6,-3.98E+01,5.02E-02
6.00E-02,2,1,6.70E-01,8.72E-06
6.00E-02,2,2,2.55E+05,4.03E+00
6.00E-02,2,3,1.64E+00,-2.95E-03
6.00E-02,2,4,1.87E+05,-1.03E+01
6.00E-02,2,5,1.85E+02,1.26E-03
6.00E-02,2,6,2.54E+06,3.55E+01
6.00E-02,3,1,1.15E+04,-6.25E+01
6.00E-02,3,2,8.17E-01,1.26E-01
6.00E-02,3,3,8.05E+05,4.94E+04
6.00E-02,3,4,5.47E+00,-2.36E-01
6.00E-02,3,5,-1.41E+06,-3.64E+03
6.00E-02,3,6,-3.67E+02,-4.42E+01
6.00E-02,4,1,-3.59E+00,-2.78E-03
6.00E-02,4,2,2.08E+05,-5.05E+00
6.00E-02,4,3,1.19E+01,2.29E+00
6.00E-02,4,4,2.69E+07,8.65E+01
6.00E-02,4,5,-8.32E+02,-1.26E-01
6.00E-02,4,6,3.26E+07,-1.30E+01
6.00E-02,5,1,4.83E+06,5.12E+02
6.00E-02,5,2,1.88E+02,-7.08E-03
6.00E-02,5,3,-1.46E+06,-1.16E+04
6.00E-02,5,4,-1.64E+03,-2.00E-01
6.00E-02,5,5,2.89E+09,1.89E+05
6.00E-02,5,6,-2.46E+04,7.34E+00
6.00E-02,6,1,-2.12E+01,-8.15E-03
6.00E-02,6,2,2.54E+06,3.66E+01
6.00E-02,6,3,-1.12E+02,8.48E+00
6.00E-02,6,4,3.27E+07,-8.97E+01
6.00E-02,6,5,-1.87E+04,2.75E-01
6.00E-02,6,6,1.40E+09,1.23E+03
9.00E-02,1,1,1.89E+04,1.52E+01
9.00E-02,1,2,6.84E-01,3.11E-04
9.00E-02,1,3,1.16E+04,-1.67E+02
9.00E-02,1,4,-6.62E+00,-7.26E-03
9.00E-02,1,5,4.93E+06,5.50E+03
9.00E-02,1,6,-4.08E+01,5.83E-02
9.00E-02,2,1,6.78E-01,5.98E-05
9.00E-02,2,2,2.58E+05,4.55E+01
9.00E-02,2,3,1.64E+00,-1.38E-02
9.00E-02,2,4,1.88E+05,-9.10E+01
9.00E-02,2,5,1.87E+02,4.38E-03
9.00E-02,2,6,2.59E+06,4.45E+02
9.00E-02,3,1,1.15E+04,-1.61E+02
9.00E-02,3,2,8.26E-01,2.67E-01
9.00E-02,3,3,8.16E+05,1.04E+05
