             we,             Fn,       R0 (deg),             OG,           Beff,             Bf,             Be,             Bl,            Bbk,             Bw,             B1,             B2
  1.037088E+001,  0.000000E+000,  1.002676E+001, -2.200000E+000,  2.211989E-002,  7.882948E-004,  9.043169E-004,  0.000000E+000,  0.000000E+000,  2.042728E-002,  7.882948E-004,  1.009282E-003
  1.069497E+001,  0.000000E+000,  1.002676E+001, -2.200000E+000,  2.117135E-002,  8.093097E-004,  9.325768E-004,  0.000000E+000,  0.000000E+000,  1.942947E-002,  8.093097E-004,  1.009282E-003
  1.101906E+001,  0.000000E+000,  1.002676E+001, -2.200000E+000,  1.970213E-002,  8.302407E-004,  9.608367E-004,  0.000000E+000,  0.000000E+000,  1.791106E-002,  8.302407E-004,  1.009282E-003
  1.134315E+001,  0.000000E+000,  1.002676E+001, -2.200000E+000,  1.734967E-002,  8.510906E-004,  9.890966E-004,  0.000000E+000,  0.000000E+000,  1.550949E-002,  8.510906E-004,  1.009282E-003
  1.166724E+001,  0.000000E+000,  1.002676E+001, -2.200000E+000,  2.029608E-002,  8.718623E-004,  1.017356E-003,  0.000000E+000,  0.000000E+000,  1.840686E-002,  8.718623E-004,  1.009282E-003
  1.199133E+001,  0.000000E+000,  1.002676E+001, -2.200000E+000,  1.867788E-002,  8.925582E-004,  1.045616E-003,  0.000000E+000,  0.000000E+000,  1.673971E-002,  8.925582E-004,  1.009282E-003
  1.231542E+001,  0.000000E+000,  1.002676E+001, -2.200000E+000,  1.811940E-002,  9.131808E-004,  1.073876E-003,  0.000000E+000,  0.000000E+000,  1.613235E-002,  9.131808E-004,  1.009282E-003
  1.263951E+001,  0.000000E+000,  1.002676E+001, -2.200000E+000,  1.641739E-002,  9.337324E-004,  1.102136E-003,  0.000000E+000,  0.000000E+000,  1.438152E-002,  9.337324E-004,  1.009282E-003
  1.296360E+001,  0.000000E+000,  1.002676E+001, -2.200000E+000,  1.547142E-002,  9.542150E-004,  1.130396E-003,  0.000000E+000,  0.000000E+000,  1.338681E-002,  9.542150E-004,  1.009282E-003
  1.328769E+001,  0.000000E+000,  1.002676E+001, -2.200000E+000,  1.422852E-002,  9.746308E-004,  1.158656E-003,  0.000000E+000,  0.000000E+000,  1.209523E-002,  9.746308E-004,  1.009282E-003
  1.361178E+001,  0.000000E+000,  1.002676E+001, -2.200000E+000,  1.312747E-002,  9.949817E-004,  1.186916E-003,  0.000000E+000,  0.000000E+000,  1.094558E-002,  9.949817E-004,  1.009282E-003
  1.393587E+001,  0.000000E+000,  1.002676E+001, -2.200000E+000,  1.193092E-002,  1.015269E-003,  1.215176E-003,  0.000000E+000,  0.000000E+000,  9.700479E-003,  1.015269E-003,  1.009282E-003
  1.425996E+001,  0.000000E+000,  1.002676E+001, -2.200000E+000,  1.107332E-002,  1.035496E-003,  1.243436E-003,  0.000000E+000,  0.000000E+000,  8.794390E-003,  1.035496E-003,  1.009282E-003
  1.458405E+001,  0.000000E+000,  1.002676E+001, -2.200000E+000,  9.704048E-003,  1.055662E-003,  1.271696E-003,  0.000000E+000,  0.000000E+000,  7.376690E-003,  1.055662E-003,  1.009282E-003
  1.490814E+001,  0.000000E+000,  1.002676E+001, -2.200000E+000,  6.808867E-003,  1.075770E-003,  1.299956E-003,  0.000000E+000,  0.000000E+000,  4.433141E-003,  1.075770E-003,  1.009282E-003
  1.523223E+001,  0.000000E+000,  1.002676E+001, -2.200000E+000,  8.744967E-003,  1.095822E-003,  1.328215E-003,  0.000000E+000,  0.000000E+000,  6.320929E-003,  1.095822E-003,  1.009282E-003
  1.555632E+001,  0.000000E+000,  1.002676E+001, -2.200000E+000,  1.065312E-002,  1.115818E-003,  1.356475E-003,  0.000000E+000,  0.000000E+000,  8.180828E-003,  1.115818E-003,  1.009282E-003
  1.588041E+001,  0.000000E+000,  1.002676E+001, -2.200000E+000,  1.114507E-002,  1.135760E-003,  1.384735E-003,  0.000000E+000,  0.000000E+000,  8.624576E-003,  1.135760E-003,  1.009282E-003
  1.620450E+001,  0.000000E+000,  1.002676E+001, -2.200000E+000,  1.076497E-002,  1.155650E-003,  1.412995E-003,  0.000000E+000,  0.000000E+000,  8.196322E-003,  1.155650E-003,  1.009282E-003
