timestamp,propeller,rudder
1745738049.0309546,800.0,35.0
1745738049.1004713,800.0,35.0
1745738049.248486,800.0,35.0
1745738049.313288,800.0,35.0
1745738049.4044464,800.0,35.0
1745738049.493922,800.0,35.0
1745738049.583617,800.0,35.0
1745738049.6947007,800.0,35.0
1745738049.7759416,800.0,35.0
1745738049.8902533,800.0,35.0
1745738050.004336,800.0,35.0
1745738050.0839818,800.0,35.0
1745738050.1914318,800.0,35.0
1745738050.2898493,800.0,35.0
1745738050.3878129,800.0,35.0
1745738050.478836,800.0,35.0
1745738050.5904856,800.0,35.0
1745738050.6973789,800.0,35.0
1745738050.8111897,800.0,35.0
1745738050.876002,800.0,35.0
1745738051.0085192,800.0,35.0
1745738051.092904,800.0,35.0
1745738051.2078722,800.0,35.0
1745738051.2829525,800.0,35.0
1745738051.380447,800.0,35.0
1745738051.4877665,800.0,35.0
1745738051.5785706,800.0,35.0
1745738051.6837037,800.0,35.0
1745738051.7772942,800.0,35.0
1745738051.8797839,800.0,35.0
1745738051.980961,800.0,35.0
1745738052.082236,800.0,35.0
1745738052.1731968,800.0,35.0
1745738052.2979634,800.0,35.0
1745738052.3805158,800.0,35.0
1745738052.4838605,800.0,35.0
1745738052.5913534,800.0,35.0
1745738052.676591,800.0,35.0
1745738052.796963,800.0,35.0
1745738052.8927975,800.0,35.0
1745738052.981716,800.0,35.0
1745738053.084009,800.0,35.0
1745738053.1976874,800.0,35.0
1745738053.2832067,800.0,35.0
1745738053.3878472,800.0,35.0
1745738053.4870927,800.0,35.0
1745738053.5861301,800.0,35.0
1745738053.6815932,800.0,35.0
1745738053.7809572,800.0,35.0
1745738053.8769605,800.0,35.0
1745738054.0086002,800.0,35.0
1745738054.1005147,800.0,35.0
1745738054.1985855,800.0,35.0
