timestamp,propeller,rudder
1745729005.7615018,800.0,35.0
1745729005.8324769,800.0,35.0
1745729005.9411674,800.0,35.0
1745729006.0010095,800.0,35.0
1745729006.104109,800.0,35.0
1745729006.2147367,800.0,35.0
1745729006.304333,800.0,35.0
1745729006.4085982,800.0,31.853700095486456
1745729006.51656,800.0,33.93720375848629
1745729006.6030993,800.0,33.297799139041366
1745729006.7019155,800.0,31.57649615394816
1745729006.8153389,800.0,24.182917305875364
1745729006.9091198,800.0,22.262126163610038
1745729007.0060341,800.0,6.07799600398223
1745729007.1162279,800.0,3.0222009582720597
1745729007.2055776,800.0,18.3658291361823
1745729007.3027864,800.0,17.035177965405317
1745729007.4088342,800.0,10.276915242729666
1745729007.5050533,800.0,8.873105842098463
1745729007.6005957,800.0,-25.560844529808335
1745729007.7091935,800.0,-29.69757182020469
1745729007.8052173,800.0,11.121896794231295
1745729007.9061413,800.0,-5.1852425442212144
1745729008.0054548,800.0,22.24764867399623
1745729008.1075723,800.0,23.45617412543421
1745729008.204942,800.0,-35.0
1745729008.3073962,800.0,-33.52491615601384
1745729008.4087815,800.0,-35.0
1745729008.502208,800.0,-35.0
1745729008.6066847,800.0,-35.0
1745729008.7081409,800.0,-35.0
1745729008.8008862,800.0,-35.0
1745729008.9021404,800.0,-35.0
1745729009.0042517,800.0,-25.83240890079342
1745729009.1148741,800.0,-25.664730304075597
1745729009.2039247,800.0,-35.0
1745729009.3070111,800.0,-35.0
1745729009.4092748,800.0,-35.0
1745729009.5062041,800.0,-35.0
1745729009.606581,800.0,-35.0
1745729009.7036967,800.0,-35.0
1745729009.8020124,800.0,-35.0
1745729010.0198073,800.0,-35.0
1745729010.0199795,800.0,-35.0
1745729010.136439,800.0,-35.0
1745729010.2575364,800.0,-35.0
1745729010.3183584,800.0,-35.0
1745729010.4033928,800.0,-35.0
1745729010.5132093,800.0,-35.0
1745729010.6031904,800.0,-35.0
1745729010.7052402,800.0,-35.0
1745729010.8194392,800.0,-35.0
1745729010.9061465,800.0,-35.0
1745729011.0040545,800.0,-35.0
1745729011.1074126,800.0,-35.0
1745729011.2114258,800.0,-35.0
1745729011.3040218,800.0,-35.0
1745729011.4195778,800.0,-35.0
1745729011.5141366,800.0,-35.0
1745729011.6130724,800.0,-35.0
1745729011.7083757,800.0,-35.0
1745729011.8040192,800.0,-35.0
1745729011.905211,800.0,-35.0
1745729012.0044699,800.0,-35.0
1745729012.1052017,800.0,-35.0
1745729012.2075572,800.0,-35.0
1745729012.3022814,800.0,-35.0
1745729012.414866,800.0,-35.0
1745729012.5079272,800.0,-22.48226473940444
1745729012.6044831,800.0,-24.369956773279714
1745729012.7130587,800.0,-27.40160839967144
1745729012.8083067,800.0,-8.339745112174596
1745729012.902361,800.0,-2.952112456767126
1745729013.0128734,800.0,-19.113633043358234
1745729013.1929877,800.0,-21.471237009158465
1745729013.2102964,800.0,-17.301180073313176
1745729013.4454508,800.0,-13.183871552354358
1745729013.4458854,800.0,35.0
1745729013.5027845,800.0,35.0
1745729013.6947615,800.0,-6.68738971778399
1745729013.7054508,800.0,-7.914517118988255
1745729013.9464273,800.0,-35.0
1745729013.9470541,800.0,-35.0
1745729014.0067766,800.0,35.0
1745729014.1995208,800.0,35.0
1745729014.215376,800.0,-35.0
1745729014.3105175,800.0,-35.0
1745729014.452394,800.0,-0.29736837401081423
1745729014.5108235,800.0,1.21884670341338
1745729014.701129,800.0,-35.0
1745729014.7050593,800.0,-35.0
1745729014.8101368,800.0,-35.0
