timestamp,propeller,rudder
1745738072.7493603,800.0,35.0
1745738072.754965,800.0,35.0
1745738072.754994,800.0,35.0
1745738072.7559853,800.0,35.0
1745738072.7560349,800.0,35.0
1745738072.7566493,800.0,35.0
1745738072.7582214,800.0,35.0
1745738072.7925549,800.0,35.0
1745738072.899989,800.0,35.0
1745738072.9894423,800.0,35.0
1745738073.091083,800.0,35.0
1745738073.1910174,800.0,35.0
1745738073.299407,800.0,35.0
1745738073.3990185,800.0,35.0
1745738073.5095117,800.0,35.0
1745738073.588651,800.0,35.0
1745738073.6924126,800.0,35.0
1745738073.7808354,800.0,35.0
1745738073.8869135,800.0,35.0
1745738073.992963,800.0,35.0
1745738074.0743032,800.0,35.0
1745738074.2050514,800.0,35.0
1745738074.2760043,800.0,35.0
1745738074.4029515,800.0,35.0
1745738074.4824672,800.0,35.0
1745738074.5864983,800.0,35.0
1745738074.6811216,800.0,35.0
1745738074.79619,800.0,35.0
1745738074.8791354,800.0,35.0
1745738074.9851902,800.0,35.0
1745738075.0994983,800.0,35.0
1745738075.197658,800.0,35.0
1745738075.3106596,800.0,35.0
1745738075.3703313,800.0,35.0
1745738075.4888003,800.0,35.0
1745738075.5921884,800.0,35.0
1745738075.70055,800.0,35.0
1745738075.830991,800.0,35.0
1745738075.87343,800.0,35.0
1745738076.0330632,800.0,35.0
1745738076.0904949,800.0,35.0
1745738076.1856883,800.0,35.0
1745738076.2881403,800.0,35.0
1745738076.3823543,800.0,35.0
1745738076.4842224,800.0,35.0
1745738076.5743418,800.0,35.0
1745738076.7007337,800.0,35.0
1745738076.7821786,800.0,35.0
1745738076.876009,800.0,35.0
1745738076.98675,800.0,35.0
1745738077.0853336,800.0,35.0
1745738077.187101,800.0,35.0
1745738077.2968292,800.0,35.0
1745738077.3973444,800.0,35.0
1745738077.4917307,800.0,35.0
1745738077.5784996,800.0,35.0
1745738077.688238,800.0,35.0
1745738077.7984245,800.0,35.0
1745738077.885988,800.0,35.0
1745738077.9927955,800.0,35.0
1745738078.0763166,800.0,35.0
1745738078.191856,800.0,35.0
1745738078.2879262,800.0,35.0
1745738078.3874042,800.0,33.84485443644903
1745738078.4778748,800.0,33.44036654549837
1745738078.5832512,800.0,33.8814709140336
1745738078.6748626,800.0,31.554794676397936
1745738078.7703266,800.0,30.478123321490546
1745738078.880601,800.0,23.914501218445952
1745738078.9751365,800.0,24.427036273274364
1745738079.087689,800.0,24.36873566492548
1745738079.1924806,800.0,25.111952497416656
1745738079.2734,800.0,4.74293729052395
1745738079.3831995,800.0,3.468542797906845
1745738079.4769373,800.0,-3.2797445733889505
1745738079.5909998,800.0,-4.9584913179402985
1745738079.6721938,800.0,-4.315893245793752
1745738079.783703,800.0,-4.87532526355697
1745738079.8771105,800.0,-18.73016960414358
1745738079.9722655,800.0,-20.70281721434537
1745738080.0860589,800.0,-13.048711412546087
1745738080.1902757,800.0,-13.679896757431523
1745738080.277338,800.0,-24.85229426152592
1745738080.3871567,800.0,-26.41351049847774
1745738080.4778938,800.0,-11.919751129267208
1745738080.5792377,800.0,-11.509471541009754
1745738080.688131,800.0,-27.49654582377462
1745738080.781266,800.0,-28.92741533436936
1745738080.8764982,800.0,-35.0
1745738080.9830112,800.0,-35.0
1745738081.077566,800.0,-35.0
1745738081.1889043,800.0,-35.0
1745738081.3147714,800.0,-25.54850375654043
1745738081.4223764,800.0,-25.630992838239678
1745738081.4767115,800.0,-35.0
1745738081.5731456,800.0,-35.0
1745738081.6852555,800.0,-35.0
1745738081.781857,800.0,-35.0
1745738081.8778174,800.0,-35.0
1745738081.9732556,800.0,-35.0
1745738082.0719907,800.0,-35.0
1745738082.1756048,800.0,-35.0
1745738082.280362,800.0,-32.713206256136054
1745738082.3791902,800.0,-29.391251411978896
1745738082.4865592,800.0,-30.100129450582685
1745738082.5809424,800.0,-30.712776472517625
1745738082.6884587,800.0,-35.0
1745738082.7769778,800.0,-34.48694369879779
1745738082.8847523,800.0,-20.72570927711837
1745738082.9841466,800.0,-20.489392162086247
1745738083.0787885,800.0,-21.410810521209914
1745738083.203827,800.0,-21.24324246692155
1745738083.3023407,800.0,-19.875599589197755
1745738083.4003515,800.0,-19.98424435236351
1745738083.4846866,800.0,-13.20803566876479
1745738083.5811937,800.0,-12.77202529646021
1745738083.6802328,800.0,-15.60692046735905
1745738083.7939315,800.0,-12.303070406243561
1745738083.8847384,800.0,-15.383641194013956
1745738083.9796488,800.0,-15.692073581238962
1745738084.0867777,800.0,-11.226696374057884
1745738084.179701,800.0,-11.0813780351628
1745738084.2798688,800.0,-16.77578601709701
1745738084.3803551,800.0,-14.485086319100441
1745738084.4882598,800.0,-8.984928484619799
1745738084.5809443,800.0,-8.992415707877878
1745738084.704847,800.0,-5.95958282009152
1745738084.7878404,800.0,-5.816458257145226
1745738084.8859246,800.0,-4.789797309021053
1745738084.9761655,800.0,-2.6043152280538213
1745738085.0856814,800.0,-3.3603199732249176
1745738085.2044845,800.0,-3.3313560183776714
1745738085.290053,800.0,-8.80473166111082
1745738085.3777492,800.0,-8.946473903647808
1745738085.4810853,800.0,-1.3353526101118518
1745738085.5924766,800.0,-1.4307771228125963
1745738085.6868432,800.0,2.8053432970843364
1745738085.792235,800.0,3.051830889695586
1745738085.8695374,800.0,4.617921600443416
1745738085.9917917,800.0,5.299332398888077
1745738086.0847836,800.0,4.877365281475219
1745738086.172147,800.0,5.129859059171296
1745738086.278456,800.0,12.175919579471564
1745738086.3907807,800.0,13.287587597595298
1745738086.4816813,800.0,-35.0
1745738086.5858936,800.0,-35.0
1745738086.694398,800.0,-35.0
1745738086.7800941,800.0,-35.0
1745738086.8934462,800.0,-35.0
1745738086.9882758,800.0,-35.0
1745738087.0864377,800.0,-35.0
1745738087.1843677,800.0,-35.0
1745738087.2801435,800.0,-35.0
1745738087.3905451,800.0,-35.0
1745738087.470561,800.0,-35.0
1745738087.6092896,800.0,-35.0
1745738087.679901,800.0,-35.0
1745738087.7782595,800.0,-35.0
1745738087.916417,800.0,-35.0
1745738087.9735575,800.0,-35.0
1745738088.0844655,800.0,-35.0
1745738088.1914487,800.0,-35.0
1745738088.3173897,800.0,-35.0
