timestamp,propeller,rudder
1745659859.2095268,800.0,-35.0
1745659859.2965026,800.0,-35.0
1745659859.4758062,800.0,-35.0
1745659859.5500815,800.0,-35.0
1745659859.6336162,800.0,-35.0
1745659859.6942706,800.0,-35.0
1745659859.7666283,800.0,-35.0
1745659859.8631845,800.0,-35.0
1745659859.9835527,800.0,-35.0
1745659860.065092,800.0,-35.0
1745659860.1638105,800.0,35.0
1745659860.2714627,800.0,35.0
1745659860.369607,800.0,-35.0
1745659860.467253,800.0,-35.0
1745659860.578239,800.0,-35.0
1745659860.6647322,800.0,-35.0
1745659860.7653656,800.0,-35.0
1745659860.8721247,800.0,-35.0
1745659860.971498,800.0,-35.0
1745659861.0632463,800.0,-35.0
1745659861.1738315,800.0,-35.0
1745659861.2687657,800.0,-35.0
1745659861.366688,800.0,-35.0
1745659861.476981,800.0,-35.0
1745659861.5736446,800.0,-35.0
1745659861.6614745,800.0,-35.0
1745659861.7756023,800.0,-17.734591024104663
1745659861.8725061,800.0,-7.568675479961543
1745659861.9772773,800.0,35.0
1745659862.0628445,800.0,35.0
1745659862.1738045,800.0,35.0
1745659862.2635567,800.0,35.0
1745659862.372548,800.0,35.0
1745659862.4709592,800.0,35.0
1745659862.564612,800.0,-35.0
1745659862.6749542,800.0,-35.0
1745659862.7735672,800.0,35.0
1745659862.8644083,800.0,35.0
1745659862.9633005,800.0,35.0
1745659863.094627,800.0,35.0
1745659863.1679313,800.0,35.0
1745659863.2659373,800.0,35.0
1745659863.3760366,800.0,-35.0
1745659863.4649012,800.0,-35.0
1745659863.562183,800.0,35.0
1745659863.6757333,800.0,35.0
1745659863.7672176,800.0,35.0
1745659863.867058,800.0,35.0
1745659863.9725215,800.0,35.0
1745659864.0772822,800.0,35.0
1745659864.1659496,800.0,35.0
1745659864.2672262,800.0,35.0
1745659864.378566,800.0,35.0
1745659864.465054,800.0,35.0
1745659864.576703,800.0,35.0
1745659864.6745968,800.0,35.0
1745659864.7615054,800.0,35.0
1745659864.8793347,800.0,35.0
1745659864.979626,800.0,35.0
1745659865.1032827,800.0,35.0
1745659865.1756217,800.0,35.0
1745659865.2719858,800.0,35.0
1745659865.3852267,800.0,35.0
1745659865.4663792,800.0,35.0
1745659865.5715837,800.0,35.0
1745659865.664417,800.0,35.0
1745659865.76442,800.0,35.0
1745659865.8717856,800.0,35.0
1745659865.9620743,800.0,35.0
1745659866.0677097,800.0,35.0
1745659866.1719608,800.0,35.0
1745659866.2688277,800.0,35.0
1745659866.3590233,800.0,35.0
1745659866.4835045,800.0,-35.0
1745659866.5678885,800.0,-35.0
1745659866.6640604,800.0,-35.0
1745659866.7783594,800.0,-35.0
1745659866.8607304,800.0,-35.0
1745659866.9757054,800.0,-35.0
1745659867.0709176,800.0,-35.0
1745659867.1711943,800.0,-35.0
1745659867.2669206,800.0,-35.0
1745659867.3737528,800.0,-35.0
1745659867.4870968,800.0,-35.0
1745659867.56449,800.0,-35.0
1745659867.6865036,800.0,-35.0
1745659867.7710886,800.0,-35.0
1745659867.8660574,800.0,-35.0
1745659867.9732673,800.0,-35.0
1745659868.067895,800.0,-35.0
1745659868.163258,800.0,-35.0
1745659868.270009,800.0,-35.0
1745659868.3662505,800.0,-35.0
1745659868.4653556,800.0,-35.0
1745659868.5694287,800.0,-35.0
1745659868.6671045,800.0,-35.0
1745659868.782228,800.0,-35.0
1745659868.8720672,800.0,-35.0
1745659868.9757798,800.0,-35.0
1745659869.0688038,800.0,-35.0
1745659869.1683836,800.0,-35.0
1745659869.2776837,800.0,-35.0
1745659869.3665485,800.0,-35.0
1745659869.4729102,800.0,-35.0
1745659869.5819116,800.0,-35.0
1745659869.6649766,800.0,-35.0
1745659869.7560349,800.0,-35.0
1745659869.8714678,800.0,-35.0
1745659869.964465,800.0,-2.8516956620463607
1745659870.067424,800.0,5.307406113015767
1745659870.1693397,800.0,-35.0
1745659870.2709758,800.0,-35.0
1745659870.3627594,800.0,-32.24018113530382
1745659870.471829,800.0,-26.884810722283405
1745659870.5733893,800.0,35.0
1745659870.6639018,800.0,35.0
1745659870.773233,800.0,4.943765888123446
1745659870.8775618,800.0,13.176739334001542
1745659870.964529,800.0,-9.04090988556288
1745659871.0763733,800.0,-3.5107466121067072
1745659871.1644878,800.0,-35.0
1745659871.2642605,800.0,-35.0
1745659871.3676858,800.0,-14.497788943154161
1745659871.4654691,800.0,-9.177544146253847
1745659871.5671983,800.0,1.227548935151826
1745659871.6717591,800.0,8.259243886911799
1745659871.7685945,800.0,35.0
1745659871.872087,800.0,35.0
1745659871.969258,800.0,35.0
1745659872.0665057,800.0,35.0
1745659872.1683273,800.0,35.0
1745659872.270128,800.0,35.0
1745659872.3883204,800.0,35.0
1745659872.4687881,800.0,35.0
1745659872.5802023,800.0,35.0
1745659872.6792154,800.0,35.0
1745659872.7766933,800.0,35.0
1745659872.875351,800.0,35.0
1745659872.9742317,800.0,35.0
1745659873.0651932,800.0,35.0
1745659873.1563902,800.0,35.0
1745659873.2674086,800.0,35.0
1745659873.369167,800.0,35.0
1745659873.4658005,800.0,35.0
1745659873.5737522,800.0,35.0
1745659873.6763515,800.0,35.0
1745659873.7599254,800.0,-35.0
1745659873.8776824,800.0,-35.0
1745659873.9692216,800.0,-35.0
1745659874.0717378,800.0,-35.0
1745659874.1742103,800.0,-35.0
1745659874.2719288,800.0,-35.0
1745659874.363942,800.0,-35.0
1745659874.4817781,800.0,-35.0
1745659874.5748158,800.0,-35.0
1745659874.6658053,800.0,-35.0
1745659874.7750924,800.0,-35.0
1745659874.8751087,800.0,-35.0
1745659874.9766467,800.0,-35.0
1745659875.071374,800.0,-35.0
1745659875.173092,800.0,-35.0
1745659875.2591047,800.0,-35.0
1745659875.360777,800.0,-35.0
1745659875.466373,800.0,-35.0
1745659875.565569,800.0,-35.0
1745659875.6687238,800.0,-35.0
1745659875.77045,800.0,-35.0
1745659875.8705053,800.0,-35.0
1745659875.9632266,800.0,-35.0
1745659876.0710733,800.0,-30.145407879719997
1745659876.1622028,800.0,-35.0
1745659876.267983,800.0,-35.0
1745659876.3730247,800.0,1.9832688863239962
1745659876.4642448,800.0,13.470845490096366
1745659876.570266,800.0,-4.294776364698469
1745659876.669306,800.0,0.9063314778769446
1745659876.7697277,800.0,35.0
1745659876.8680604,800.0,35.0
1745659876.9776955,800.0,35.0
1745659877.0647514,800.0,35.0
1745659877.1619248,800.0,35.0
1745659877.2704241,800.0,35.0
1745659877.3659568,800.0,35.0
1745659877.4648876,800.0,35.0
1745659877.5738497,800.0,35.0
1745659877.6688979,800.0,35.0
1745659877.7614756,800.0,35.0
1745659877.8804772,800.0,35.0
1745659877.968316,800.0,35.0
1745659878.0650008,800.0,35.0
1745659878.1707766,800.0,35.0
1745659878.2791998,800.0,35.0
1745659878.3635788,800.0,35.0
1745659878.4770021,800.0,35.0
1745659878.5711787,800.0,35.0
1745659878.671252,800.0,35.0
1745659878.7693076,800.0,35.0
1745659878.8699548,800.0,35.0
1745659878.9595437,800.0,35.0
1745659879.057646,800.0,-35.0
1745659879.1690764,800.0,-35.0
1745659879.2738307,800.0,-35.0
1745659879.3661487,800.0,-35.0
1745659879.4712176,800.0,-35.0
1745659879.5602782,800.0,-35.0
1745659879.687733,800.0,-35.0
1745659879.8130648,800.0,-35.0
1745659879.8648095,800.0,-35.0
1745659879.96464,800.0,-35.0
1745659880.075217,800.0,-35.0
1745659880.1678126,800.0,-35.0
1745659880.263543,800.0,-35.0
1745659880.3814847,800.0,-35.0
1745659880.4675617,800.0,-35.0
1745659880.5620131,800.0,-35.0
1745659880.671013,800.0,-35.0
